symbol,zip,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,firstTradeDateEpochUtc,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
NKE,97005-6453,Footwear & Accessories,Consumer Cyclical,83700,8,10,2,7,8,1714521600,1703980800,86400,2,92.79,92.29,90.85,92.62,92.79,92.29,90.85,92.62,1.48,0.0159,1717372800,0.41759998,1.0,1.076,26.930882,25.086302,13798285,13798285,9449606,7561580,7561580,91.09,91.09,800,1800,138100178944,88.66,123.39,2.6773458,94.479,101.8261,1.42,0.015303372,USD,141585399808,0.10141,1193027388,1211459968,17044013,17919587,1711584000,1714435200,0.0113,0.01417,0.82871,1.87,0.0175,1509360000,9.415,9.725438,1685491200,1717113600,1709164800,-0.055,5231000064,3.4,3.65,2.15,2:1,1450915200,2.745,20.633,-0.20678747,0.26159418,0.37,1709251200,NYQ,EQUITY,344615400,-14400000,91.565,120.44,69.49,100.89,105.16,2.3,buy,34,10572999680,7.005,6862000128,12104999936,1.672,2.741,51581001728,85.091,33.831,0.09891,0.36381,5401124864,7063000064,-0.025,0.003,0.44294998,0.13303,0.107489996,USD,2.0476
MCD,60607,Restaurants,Consumer Cyclical,100000,7,3,4,6,5,1714521600,1703980800,86400,2,270.66,271.11,270.231,274.37,270.66,271.11,270.231,274.37,6.68,0.0247,1709164800,0.5421,2.24,0.709,23.28462,22.263199,1950478,1950478,3333232,3457740,3457740,273.74,273.79,1100,800,197991628800,245.73,302.39,7.6846085,276.4908,279.73404,6.38,0.023572009,USD,245166702592,0.33363,718238545,720681984,8097925,8081310,1711584000,1714435200,0.0112,0.0017,0.72644997,2.21,0.0113,722438976,-6.706,,1703980800,1735603200,1711843200,0.07,8595800064,11.77,12.31,3.87,2:1,920851200,9.516,17.753,-0.0776937,0.26159418,1.67,1709164800,NYQ,EQUITY,-110197800,-14400000,274.06,330.75,264.05,292.84,290.45,2.1,buy,32,838000000,1.163,13809500160,50944999424,0.63,0.83,25764700160,,35.507,0.13991,,6313612288,9581899776,0.086,0.046,0.57006,0.53599,0.44205,USD,2.329
SBUX,98134,Restaurants,Consumer Cyclical,381000,3,1,2,2,1,1714521600,1703980800,86400,2,75.63,75.9,75.3201,76.03,75.63,75.9,75.3201,76.03,2.28,0.0301,1715817600,0.6061,1.95,0.966,20.851212,18.551447,7369754,7369754,10347957,23390770,23390770,75.61,75.75,200,200,86357639168,71.8,107.66,2.3640134,86.2714,93.74295,2.24,0.029617878,USD,107756101632,0.11382,1108029794,1132700032,17534800,15717935,1711584000,1714435200,0.0155,0.020399999,0.76881,2.17,0.0155,1140940032,-7.46,,1696118400,1727740800,1711843200,-0.15,4157700096,3.63,4.08,2.58,2:1,1428537600,2.95,15.142,-0.28441668,0.26159418,0.57,1707350400,NMS,EQUITY,709565400,-14400000,75.6899,120.0,75.0,89.83,85.0,2.6,hold,28,3126599936,2.76,7116299776,25209399296,0.563,0.859,36530098176,,32.048,0.120570004,,2832212480,6537800192,-0.139,-0.018,0.27737,0.19481,0.12039,USD,1.318
TJX,01701,Apparel Retail,Consumer Cyclical,349000,8,6,9,4,8,1714521600,1735603200,86400,2,98.665,98.5,98.195,99.3399,98.665,98.5,98.195,99.3399,1.5,0.0150999995,1715731200,0.3348,1.34,0.878,25.502592,21.730684,2736807,2736807,5397213,5312770,5312770,98.3,98.33,800,900,111483297792,75.65,102.84,2.0562425,96.7756,92.83085,1.33,0.013479957,USD,119151730688,0.08252,1130186763,1132499968,9344934,12369323,1711584000,1714435200,0.0083,0.0008,0.93611,1.86,0.0083,1133650048,6.442,15.28097,1706918400,1738540800,1706918400,0.352,4473999872,3.86,4.53,2.07,2:1,1541548800,2.198,17.623,0.25446486,0.26159418,0.333,1707868800,NYQ,EQUITY,551712600,-14400000,98.44,132.0,98.0,113.15,114.0,1.7,buy,20,5600000000,4.943,6760999936,12542000128,0.592,1.212,54216998912,171.761,47.31,0.12473,0.65476,3526749952,6056999936,0.368,0.13,0.36466,0.1247,0.10901,USD,2.5678
LOW,28117,Home Improvement Retail,Consumer Cyclical,168000,6,4,3,3,3,1714521600,1703980800,86400,2,231.58,235.08,234.83,237.32,231.58,235.08,234.83,237.32,4.4,0.019,1713830400,0.32950002,1.69,1.144,17.913637,17.593752,1493570,1493570,2332227,1827340,1827340,236.03,236.03,800,800,136118444032,181.85,262.49,1.5758646,238.934,220.4066,4.35,0.018784005,USD,171806425088,0.089449994,570891107,572192000,6958581,7900535,1711584000,1714435200,0.012200001,0.00101,0.76374,3.18,0.012200001,575651008,-26.22,,1706832000,1738454400,1706832000,0.065,7705999872,13.2,13.44,3.66,2:1,1151884800,1.989,12.745,0.1176641,0.26159418,1.1,1713830400,NYQ,EQUITY,322151400,-14400000,236.46,290.0,196.0,252.96,251.0,2.4,buy,30,921000000,1.61,13479999488,40220999680,0.059,1.225,86376996864,,148.414,0.16896,,4797250048,8140000256,0.118,-0.171,0.33393002,0.15606,0.09074,USD,2.9976
TGT,55403,Discount Stores,Consumer Defensive,415000,5,4,2,1,1,1714521600,1703980800,86400,2,158.96,160.61,157.04,160.955,158.96,160.61,157.04,160.955,4.4,0.0277,1715644800,0.48770002,2.24,1.166,17.637737,14.971958,1850483,1850483,3731985,3183390,3183390,157.44,157.47,1100,900,73756131328,102.93,181.86,0.68666565,167.1836,138.7311,4.36,0.027428284,USD,89354272768,0.03852,460291285,462632000,6344808,7060535,1711584000,1714435200,0.0137,0.00178,0.82385004,2.15,0.0137,468278016,29.094,5.4136596,1706918400,1738540800,1706918400,0.578,4137999872,8.93,10.52,0.92,2:1,964051200,0.832,10.269,-0.012425423,0.26159418,1.1,1715644800,NYQ,EQUITY,99153000,-14400000,157.505,220.0,140.0,185.37,190.0,2.2,buy,28,3804999936,8.241,8700999680,19768999936,0.27,0.906,107411996672,147.178,232.745,0.06785,0.33555,2332750080,8620999680,0.574,0.017,0.27628002,0.08101,0.0594,USD,2.4392
DLTR,23320,Discount Stores,Consumer Defensive,65894,1,8,10,2,9,1714521600,1703980800,86400,2,118.88,119.52,118.28,119.955,118.88,119.52,118.28,119.955,,,,,,0.923,,14.556373,1543395,1543395,2996586,2044300,2044300,118.65,126.51,600,100,26207975424,102.77,161.1,0.8563634,128.0404,127.19905,,,USD,35615821824,-0.03262,205058805,218220000,5578311,4788099,1711584000,1714435200,0.0256,0.00066,1.0305899,2.14,0.0309,220643008,33.561,3.539227,1706918400,1738540800,1706918400,,-998400000,-4.55,8.16,1.81,2:1,1340755200,1.164,13.507,-0.25195068,0.26159418,,,NMS,EQUITY,794586600,-14400000,118.78,180.0,115.0,149.92,151.5,2.4,buy,22,684899968,3.142,2636900096,10386899968,0.146,1.306,30603800576,142.031,139.425,0.049840003,-0.1243,576687488,2684499968,,0.119,0.30774,0.086160004,0.08758,USD,2.1017
DG,37072,Discount Stores,Consumer Defensive,185800,9,1,7,7,5,1714521600,1703980800,86400,2,140.31,140.57,140.25,142.875,140.31,140.57,140.25,142.875,2.36,0.0168,1712534400,0.31260002,0.95,0.44,18.700663,17.07255,1595469,1595469,2312119,2022190,2022190,140.91,140.99,800,1100,31015350272,101.09,218.36,0.80160403,149.0308,135.93906,2.36,0.016819898,USD,48375566336,0.042940002,218199518,219671008,5417319,6316193,1711584000,1714435200,0.0247,0.0025099998,0.94261,2.72,0.0279,219671008,30.725,4.5952806,1706832000,1738454400,1706832000,-0.39,1661273984,7.55,8.27,-35.83,,,1.25,14.651,-0.3514076,0.26159418,0.59,1712534400,NYQ,EQUITY,1258122600,-14400000,141.19,190.0,118.0,157.01,157.21,2.4,buy,25,537283008,2.446,3301793024,18090766336,0.097,1.191,38691610624,268.046,176.34,0.051209997,0.27033,226484880,2391798016,-0.386,-0.034,0.30288,0.08534,0.05948,USD,2.3914
ROST,94568-7579,Apparel Retail,Consumer Cyclical,108000,10,6,6,4,7,1714521600,1703980800,86400,2,132.86,133.19,132.745,134.17,132.86,133.19,132.745,134.17,1.47,0.0111,1710374400,0.241,0.95,1.066,23.975676,20.315268,1403091,1403091,2270904,2558820,2558820,132.99,133.21,300,500,44866191360,99.0,151.12,2.201812,138.9238,130.02245,1.34,0.010085804,USD,45406494720,0.09199,327827124,335307008,4963467,3516252,1711584000,1714435200,0.0148,0.02104,0.89691,2.3,0.0150999995,337175008,14.534,9.155429,1706918400,1738540800,1706918400,0.364,1874520064,5.55,6.55,1.59,2:1,1434067200,2.228,16.65,0.28008473,0.26159418,0.368,1710374400,NMS,EQUITY,492355800,-14400000,133.065,173.0,145.0,163.15,163.0,1.8,buy,19,4872445952,14.537,2727095040,5747703808,1.198,1.767,20376940544,117.991,60.793,0.10406999,0.40929002,1297432704,2514490112,0.401,0.155,0.32169,0.13383001,0.12355,USD,2.2377
YUM,40213,Restaurants,Consumer Cyclical,35000,2,2,6,7,3,1714521600,1703980800,86400,2,137.49,137.14,137.215,139.1399,137.49,137.14,137.215,139.1399,2.68,0.0195,1708387200,0.4406,1.76,1.073,24.5461,21.665102,1336642,1336642,2102780,2362630,2362630,138.42,138.43,800,900,38989135872,115.53,143.2,5.5468965,138.0072,130.67795,1.815,0.01320096,USD,49977614336,0.22919,280919683,281632000,8638589,7101969,1711584000,1714435200,0.0307,0.0014399999,0.88876,4.26,0.0308,281632000,-27.601,,1703980800,1735603200,1711843200,0.047,1611000064,5.64,6.39,2.18,1391:1000,1477958400,7.11,19.447,0.0019676685,0.26159418,0.67,1708387200,NYQ,EQUITY,874503000,-14400000,138.44,161.0,127.0,145.76,148.0,2.4,buy,21,680000000,2.414,2569999872,11936000000,1.15,1.493,7029000192,,24.992,0.25171,,1170749952,1616999936,0.048,-0.029,0.49595,0.36563,0.34480998,USD,2.2515
