stock,0_Absolute energy,0_Average power,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_Entropy,0_Histogram_0,0_Histogram_1,0_Histogram_2,0_Histogram_3,0_Histogram_4,0_Histogram_5,0_Histogram_6,0_Histogram_7,0_Histogram_8,0_Histogram_9,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Peak to peak distance,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance
APA,4990106.108143801,147854.99579685336,675.0,2700.0,33.10499954223633,43.290000915527344,0.0002962085308056872,0.0005924170616113745,0.0008886255924170616,0.001184834123222749,0.001481042654028436,0.0017772511848341231,0.0020734597156398106,0.002369668246445498,0.002665876777251185,0.002962085308056872,0.9280999914906275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.725499153137207,-0.9191538124880654,51.810001373291016,38.10453917403922,4.400917082452643,37.58000183105469,4.279998779296875,29.03499984741211,22.775001525878906,38.44622216626441,0.31854970637598484,5.114302806040293,26.15609319187161
BKR,3246051.8052867847,96179.31274923806,675.0,2700.0,27.899999618530273,34.505001068115234,0.0002962085308056872,0.0005924170616113745,0.0008886255924170616,0.001184834123222749,0.001481042654028436,0.0017772511848341231,0.0020734597156398106,0.002369668246445498,0.002665876777251185,0.002962085308056872,0.9169205900779026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.466251850128174,-0.4730748154197797,38.400001525878906,30.783431258246797,3.0621465093977025,30.72249984741211,2.7325010299682617,20.440000534057617,17.96000099182129,31.008196273939365,-0.32175388068566824,3.7267406848265017,13.888596131941103
BP,4226662.535091949,125234.44548420589,675.0,2700.0,32.47999954223633,38.290199279785156,0.0002962085308056872,0.0005924170616113745,0.0008886255924170616,0.001184834123222749,0.001481042654028436,0.0017772511848341231,0.0020734597156398106,0.002369668246445498,0.002665876777251185,0.002962085308056872,0.907232474727392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.560248374938965,-0.02148402387551407,41.320098876953125,35.22976237111747,2.503545857571503,35.582550048828125,1.7674999237060547,25.56999969482422,15.750099182128906,35.38323755298584,-0.6387405201388986,3.292011999617081,10.837343005622854
CNQ,12463684.916776506,369294.36790448905,675.0,2700.0,54.654998779296875,65.2300033569336,0.0002962085308056872,0.0005924170616113745,0.0008886255924170616,0.001184834123222749,0.001481042654028436,0.0017772511848341231,0.0020734597156398106,0.002369668246445498,0.002665876777251185,0.002962085308056872,0.9332702643669802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.089069366455078,0.5887674249076915,82.33000183105469,60.35404643741264,5.377265019851758,60.040000915527344,4.569999694824219,44.03525924682617,38.294742584228516,60.76059411841998,0.6550205727138434,7.017041844966505,49.238876254010925
COP,42728756.57869137,1266037.2319612259,675.0,2700.0,102.59500122070312,120.57499694824219,0.0002962085308056872,0.0005924170616113745,0.0008886255924170616,0.001184834123222749,0.001481042654028436,0.0017772511848341231,0.0020734597156398106,0.002369668246445498,0.002665876777251185,0.002962085308056872,0.9523666518048299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.12750244140625,-0.0284833333540897,136.11500549316406,111.99870422101134,8.395180759812614,112.9000015258789,6.970001220703125,79.05000305175781,57.06500244140625,112.50165425151762,-0.35681667986103965,10.626027580541601,112.91246214243081
CVX,87000027.2147299,2577778.584140145,675.0,2700.0,150.6750030517578,169.74000549316406,0.0002962085308056872,0.0005924170616113745,0.0008886255924170616,0.001184834123222749,0.001481042654028436,0.0017772511848341231,0.0020734597156398106,0.002369668246445498,0.002665876777251185,0.002962085308056872,0.957950552651924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.23129653930664,-0.49385069795578707,189.1199951171875,160.14897264236524,8.893447574714786,159.37750244140625,7.575050354003906,133.52999877929688,55.589996337890625,160.53083891056556,0.28181244375973813,11.066020193588354,122.45680292490523
DVN,10364206.243542988,307087.5924012737,675.0,2700.0,46.415000915527344,63.72999954223633,0.0002962085308056872,0.0005924170616113745,0.0008886255924170616,0.001184834123222749,0.001481042654028436,0.0017772511848341231,0.0020734597156398106,0.002369668246445498,0.002665876777251185,0.002962085308056872,0.9580446323556797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.78499984741211,-0.48612638168820865,79.12999725341797,54.60195205674917,7.814824245700254,51.869998931884766,5.709999084472656,40.52000045776367,38.6099967956543,55.40727663734249,0.748040137102683,9.412392679837756,88.5931359594634
E,2917801.294225155,86453.37168074533,675.0,2700.0,26.78499984741211,32.08000183105469,0.0002962085308056872,0.0005924170616113745,0.0008886255924170616,0.001184834123222749,0.001481042654028436,0.0017772511848341231,0.0020734597156398106,0.002369668246445498,0.002665876777251185,0.002962085308056872,0.87480376447233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,-0.19575995606745078,34.290000915527344,29.21531888545972,2.620432025422969,30.11500072479248,1.875,20.43000030517578,13.860000610351562,29.398599193590258,-0.8784093290940693,3.2776175747433425,10.742776966266431
EOG,50776383.642632596,1504485.4412631881,675.0,2700.0,112.47000122070312,131.06500244140625,0.0002962085308056872,0.0005924170616113745,0.0008886255924170616,0.001184834123222749,0.001481042654028436,0.0017772511848341231,0.0020734597156398106,0.002369668246445498,0.002665876777251185,0.002962085308056872,0.9538595885270859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.179998397827148,-0.40298164654086666,149.2899932861328,122.22008802992472,8.27557733454491,122.63999938964844,7.644050598144531,93.18000030517578,56.10999298095703,122.63930038291204,0.02915588480105563,10.131538894342706,102.648080367579
EPD,2341354.285726278,69373.46031781565,675.0,2700.0,25.270000457763672,27.09000015258789,0.0002962085308056872,0.0005924170616113745,0.0008886255924170616,0.001184834123222749,0.001481042654028436,0.0017772511848341231,0.0020734597156398106,0.002369668246445498,0.002665876777251185,0.002962085308056872,0.858779185684457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.340949535369873,0.28010518833527964,29.979999542236328,26.304730337942946,0.9474945812175699,26.357500076293945,0.6424999237060547,22.90999984741211,7.069999694824219,26.334940916405717,0.12061256748416531,1.2610610289292672,1.590274918684142
