symbol,zip,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,firstTradeDateEpochUtc,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
XOM,77389-1425,Oil & Gas Integrated,Energy,62000,10,7,9,1,7,1714521600,1703980800,86400,2,117.67,117.61,116.08,118.695,117.67,117.61,116.08,118.695,3.8,0.0323,1715644800,0.4559,5.18,0.947,14.546013,13.113938,14188968,14188968,18362785,22314100,22314100,118.17,118.18,800,900,532891729920,95.77,123.75,1.5890567,116.2018,108.70555,3.72,0.031613834,USD,478895603712,0.09781,3935633443,4485929984,109240010,104820559,1711584000,1714435200,0.0277,0.00049,0.6394,6.23,0.0277,4495079936,52.054,2.2774427,1703980800,1735603200,1711843200,-0.281,32800000000,8.15,9.04,4.99,2:1,995500800,1.428,7.075,0.12259114,0.26159418,0.95,1715644800,NYQ,EQUITY,-252322200,-14400000,118.55,140.82,101.91,123.24,122.3,2.2,buy,23,33319999488,8.45,67689000960,40440000512,1.025,1.382,335350988800,18.981,83.296,0.0783,0.16248,26435874816,53691998208,-0.262,-0.035,0.31868,0.20185,0.13229999,USD,6.8546
CVX,94583-2324,Oil & Gas Integrated,Energy,45600,4,4,2,1,1,1714521600,1703980800,86400,2,163.61,163.13,160.19,163.7931,163.61,163.13,160.19,163.7931,6.52,0.0399,1715817600,0.5667,4.42,1.107,15.014733,11.531824,6021181,6021181,8032249,7392390,7392390,162.61,162.64,800,900,302203994112,139.62,171.7,1.5675619,158.7798,155.46976,6.16,0.03765051,USD,318777163776,0.10528,1717681461,1842969984,53206020,49670617,1711584000,1714435200,0.028900001,0.06895,0.67783,7.04,0.028900001,1853330048,86.965,1.8750073,1703980800,1735603200,1711843200,-0.163,20295999488,10.86,14.14,2.68,2:1,1095033600,1.654,7.731,0.050735354,0.26159418,1.63,1707955200,NYQ,EQUITY,-252322200,-14400000,163.06,206.0,155.0,184.07,182.57,2.1,buy,23,6278000128,3.399,41230999552,21834999808,0.808,1.23,192786006016,13.507,103.611,0.061479997,0.12641,14773125120,35231997952,-0.142,-0.041,0.39516997,0.21386999,0.13908,USD,4.5698
BP,SW1Y 4PD,Oil & Gas Integrated,Energy,87800,3,4,3,9,5,1714521600,1703980800,86400,2,37.96,37.84,37.28,37.93,37.96,37.84,37.28,37.93,1.74,0.046,1715817600,0.5259,6.02,0.537,11.643518,7.56012,7153361,7153361,9165077,9050550,9050550,37.7,37.71,900,1800,105663578112,33.52,40.84,0.5254829,38.175,36.92375,0.291,0.007665965,USD,683016650752,0.04617,16162555615,2794269952,9952525,5894891,1711584000,1714435200,0.0037,3.0000001e-05,0.11389,0.86,,2913120000,4.165,9.057623,1703980800,1735603200,1711843200,-0.725,9292999680,3.24,4.99,-0.5,2:1,938995200,3.397,17.965,0.054444432,0.26159418,0.436,1707955200,NYQ,EQUITY,-252322200,-14400000,37.725,49.9,38.0,43.54,43.05,2.1,buy,14,32124999680,1.918,38018998272,64070000640,0.763,1.232,201078996992,75.43,17.664,0.04472,0.11465,11799249920,29425999872,-0.706,-0.131,0.29041,0.18907,0.110740006,USD,
TTE,92078,Oil & Gas Integrated,Energy,102579,5,4,1,7,3,1714521600,1703980800,86400,2,73.97,73.65,72.75,73.86,73.97,73.65,72.75,73.86,3.19,0.0431,1710720000,0.36009997,6.0,0.771,8.305869,7.7219305,803320,803320,1304842,878810,878810,73.47,73.49,2200,1100,170345381888,54.94,74.97,0.8012671,70.6996,66.5584,3.375,0.045626603,USD,198976012288,0.10135999,2098162568,2310439936,6134669,5619205,1711584000,1714435200,0.0027,3.0000001e-05,0.06837,3.8,,2326030080,51.014,1.442545,1703980800,1735603200,1711843200,0.03,21547999232,8.86,9.53,1.33,2:1,1148342400,0.936,4.712,0.23160172,0.26159418,0.81,1710720000,NYQ,EQUITY,688397400,-14400000,73.59,88.0,65.0,78.08,80.0,2.3,buy,10,31958999040,13.769,42230001664,56506998784,0.63,1.094,212594999296,46.645,89.124,0.06323,0.18100001,15844500480,37715001344,0.086,-0.109,0.34867,0.19864,0.14955,USD,
PXD,75038,Oil & Gas E&P,Energy,2213,9,3,2,8,6,1714521600,1703980800,86400,2,267.66,269.47,269.141,272.215,267.66,269.47,269.141,272.215,10.94,0.040599998,1709251200,0.6907,4.16,,13.334323,11.8984995,4426409,4426409,2069439,2711856,2711856,,,800,1000,63003455488,196.745,278.83,3.207262,258.2022,238.69005,10.94,0.040872745,USD,67748646912,0.24267,231694450,233675008,6612363,6327898,1710460800,1713139200,0.028299998,0.00736,0.8102,4.11,0.028499998,233675008,100.96,2.6705625,1703980800,1735603200,1711843200,-0.104,4758000128,20.22,22.66,6.27,,,3.449,7.31,0.32192588,0.26159418,2.56,1709251200,NYQ,EQUITY,871047000,-14400000,269.62,306.0,243.0,273.39,276.5,2.8,hold,18,585000000,2.504,9267999744,5335000064,0.718,0.904,19644000256,22.616,84.039,0.10659,0.20987,2518625024,8080000000,-0.086,0.047,0.5054,0.4718,0.30015,USD,14.3244
COP,77079-2703,Oil & Gas E&P,Energy,10000,2,7,2,8,5,1714521600,1703980800,86400,2,121.04,120.67,118.66,121.9094,121.04,120.67,118.66,121.9094,3.25,0.0269,1715299200,0.4054,2.59,1.264,13.677602,12.713985,3873061,3873061,5241447,5559320,5559320,120.85,120.87,1100,1000,142051131392,98.38,135.18,2.50002,124.9672,118.2893,4.18,0.034534037,USD,153916391424,0.18634,1167124736,1169529984,12519381,12879365,1711584000,1714435200,0.0107,0.00127,0.82892,3.02,0.0107,1174850048,42.175,2.8668644,1703980800,1735603200,1711843200,-0.126,10554999808,8.84,9.51,3.12,1311791:1000000,1335830400,2.709,6.337,0.20186675,0.26159418,0.78,1715299200,NYQ,EQUITY,378657000,-14400000,120.91,166.0,125.0,143.52,142.0,2.0,buy,25,6061000192,5.182,24287000576,18417000448,1.133,1.35,56819998720,37.338,47.661,0.10516,0.21806999,5624124928,19547000832,-0.097,-0.068,0.48786,0.42744,0.26525998,USD,
OXY,77046-0521,Oil & Gas E&P,Energy,12570,10,3,2,1,2,1714521600,1703980800,86400,2,63.06,62.9,62.02,63.45,63.06,62.9,62.02,63.45,0.88,0.0139999995,1717977600,0.2197,4.49,1.66,18.33526,13.584582,4954374,4954374,7707096,6731250,6731250,63.21,63.23,1400,1000,56248250368,55.12,71.19,2.0827286,65.173,62.1615,0.76,0.012052014,USD,83918315520,0.16,883391659,886636992,50676742,49329354,1711584000,1714435200,0.0572,0.28269,0.52066004,6.31,0.1108,886636992,25.401,2.4975395,1703980800,1735603200,1711843200,-0.297,3304999936,3.46,4.67,1.99,10000:9983,1456358400,3.107,6.88,0.07026482,0.26159418,0.22,1709769600,NYQ,EQUITY,378657000,-14400000,63.44,90.0,63.0,72.38,70.0,2.6,hold,21,1272000000,1.435,12197999616,20835999744,0.516,0.947,27007000576,67.285,30.519,0.0444,0.13518,4047749888,11445000192,-0.248,-0.173,0.59577,0.45166,0.17071,USD,3.178
SLB,77056,Oil & Gas Equipment & Services,Energy,111000,5,2,1,4,1,1714521600,1703980800,86400,2,48.62,48.67,47.4,48.67,48.62,48.67,47.4,48.67,1.1,0.0226,1717545600,0.3417,3.26,1.644,16.096666,12.542858,5373380,5373380,9041100,8659160,8659160,48.28,48.29,1400,800,69207293952,42.73,62.12,2.0291824,51.4572,53.60585,1.025,0.02108186,USD,79469404160,0.12716,1424034881,1429340032,30753659,19392936,1711584000,1714435200,0.0215,0.0019,0.8237,2.97,0.0216,1433159936,14.507,3.328738,1703980800,1735603200,1711843200,0.143,4336999936,3.0,3.85,0.76,2:1,1144627200,2.33,10.603,0.09258425,0.26159418,0.275,1707177600,NYQ,EQUITY,378657000,-14400000,48.29,75.04,49.1,62.01,62.07,1.8,buy,28,3491000064,2.442,7495000064,12279000064,0.909,1.374,34105999360,56.01,23.913,0.07768,0.21979,2960999936,6633999872,0.138,0.126,0.19973,0.21976,0.16045,USD,1.164
EOG,77002,Oil & Gas E&P,Energy,3050,4,4,2,2,2,1714521600,1703980800,86400,2,129.43,129.0,126.54,129.42,129.43,129.0,126.54,129.42,3.64,0.028099999,1721174400,0.2676,2.25,1.385,10.202372,10.30008,2001121,2001121,3554883,3484260,3484260,128.77,128.8,1000,800,74172194816,106.32,139.67,3.1517036,129.3836,124.6248,3.47,0.02680986,USD,73201795072,0.31274,572710621,574710976,9563920,9660441,1711584000,1714435200,0.0166,0.00506,0.93284,3.25,0.0167,574710976,49.834,2.5897982,1703980800,1735603200,1711843200,-0.116,7360000000,12.65,12.53,2.43,2:1,1396310400,3.11,5.543,0.16814077,0.26159418,0.91,1713139200,NYQ,EQUITY,623511000,-14400000,129.06,169.0,124.0,146.68,146.0,2.3,buy,28,5292000256,9.208,13205000192,4108999936,1.868,2.323,23534000128,14.349,40.663,0.13520999,0.27216998,3039000064,10988000256,-0.101,0.047,0.62263,0.5611,0.38311002,USD,
KMI,77002,Oil & Gas Midstream,Energy,10891,8,9,4,7,8,1714521600,1703980800,86400,2,19.41,19.41,19.375,19.63,19.41,19.41,19.375,19.63,1.15,0.0592,1714348800,1.0367,6.22,0.877,17.90367,15.366141,11017940,11017940,13228219,12389830,12389830,19.47,19.48,3200,1400,43311198208,15.89,19.63,2.8330193,18.3104,17.4361,1.135,0.058475014,USD,76476252160,0.16078,1932307101,2219379968,43880499,44293459,1711584000,1714435200,0.0198,0.12808,0.66543,3.26,0.0227,2219379968,13.685,1.4260138,1703980800,1735603200,1711843200,0.099,2444000000,1.09,1.27,3.03,,,5.002,11.84,0.17993915,0.26159418,0.288,1714348800,NYQ,EQUITY,1297434600,-14400000,19.515,22.0,18.0,20.38,20.5,2.6,hold,16,119000000,0.054,6458999808,32145999872,0.333,0.504,15288000512,101.27,6.864,0.03799,0.08005,-243875008,6346999808,0.113,-0.012,0.49778,0.42249,0.30999002,USD,1.9447
