stock,0_Absolute energy,0_Average power,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_Entropy,0_Histogram_0,0_Histogram_1,0_Histogram_2,0_Histogram_3,0_Histogram_4,0_Histogram_5,0_Histogram_6,0_Histogram_7,0_Histogram_8,0_Histogram_9,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Peak to peak distance,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance
AMTD,146451.69605422165,4293.5120508420305,682.0,2729.0,1.820099949836731,6.420000076293945,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.7889123781484035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.839774787425995,42.17913417076993,53.87999725341797,5.127867579425206,2.2767681692804245,4.772249937057495,1.4101500511169434,1.649999976158142,52.22999727725983,6.551529359193863,4.985569738189664,4.077684518480926,16.627511032259026
AXP,98884415.6512934,2898986.09355888,682.0,2729.0,149.8300018310547,180.32000732421875,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.9687731946817789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.235000610351562,0.8983781722723836,242.41000366210938,168.38216378680428,18.908317181081852,160.5989532470703,10.947502136230469,132.75999450683594,109.65000915527344,170.23913913476264,1.325642256710848,25.076112374506934,628.8114118188997
BAC,3583002.2363591483,105042.57509115065,682.0,2729.0,28.670000076293945,35.5,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.9273396503993329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.586249351501465,-1.0809567446575377,39.059898376464844,32.2347274430332,2.8653395671498223,32.650001525878906,2.938749313354492,25.100000381469727,13.959897994995117,32.40552250363556,-0.062157575033561674,3.3226849695680243,11.040235406993263
BK,7472556.739019252,219072.3171802771,682.0,2729.0,42.349998474121094,51.64500045776367,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.9120029083028665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.305000305175781,-0.519503071460163,58.71500015258789,46.51513058303529,4.276162367022946,44.76499938964844,2.542499542236328,37.18000030517578,21.53499984741211,46.79830240048447,0.8131510228757569,5.140402164263534,26.423734410365224
BLK,1681251688.0665913,49289114.279290274,682.0,2729.0,641.5750122070312,758.3200073242188,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.9921511580607894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.62998962402344,-0.6616098219895568,842.8699951171875,698.798656557537,54.59541641339389,693.6549987792969,49.464996337890625,519.0449829101562,323.82501220703125,701.9591759226139,0.08261755482888775,66.53662341400137,4427.122255336636
C,8184651.201777855,239948.73062966447,682.0,2729.0,44.303001403808594,52.375999450683594,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.9421229596751478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.751250267028809,0.23931824282369485,64.06500244140625,48.662429315403784,4.375438922741054,47.6648006439209,3.4051990509033203,38.2400016784668,25.825000762939453,48.97738311499544,0.7266419475587301,5.545451281579442,30.752029916371082
CB,154345081.13834977,4524921.757207558,682.0,2729.0,193.16000366210938,226.42999267578125,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.9714984728643391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.42171859741211,-0.34796187249601074,260.20001220703125,211.7055429635266,16.416484412192737,208.57100677490234,13.541007995605469,173.97000122070312,86.23001098632812,212.68746033788503,0.7439408216877029,20.413693039178657,416.7188634978112
COF,42703729.56523979,1251941.646591609,682.0,2729.0,96.95449829101562,126.94999694824219,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.9608018113501571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.562501907348633,-0.4585019588563486,149.9199981689453,110.77760703119276,12.577616734167322,107.2300033569336,9.115001678466797,84.27999877929688,65.63999938964844,111.87380048442955,0.7342407152805345,15.62270832066527,244.06901527258387
GS,411757227.7551478,12071452.001030426,682.0,2729.0,319.32000732421875,380.04998779296875,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.9799175061802652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.852500915527344,0.3212874025482235,464.489990234375,345.68938539064504,27.51837849846999,339.5249938964844,20.035003662109375,278.6300048828125,185.8599853515625,347.3890335174544,0.7233613365005366,34.32185071392779,1177.9894364291454
ICE,42442804.88365295,1244292.1396556126,682.0,2729.0,100.70999908447266,122.45999908447266,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.948753759802853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.363750457763672,-0.28226359661398526,140.27499389648438,110.82190792893189,9.845841193816527,108.20549774169922,6.697498321533203,89.1500015258789,51.12499237060547,111.53149593228105,0.7116437094580405,12.56102336132552,157.77930788376543
