symbol,zip,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,firstTradeDateEpochUtc,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,operatingCashflow,earningsGrowth,revenueGrowth,operatingMargins,financialCurrency,trailingPegRatio,quickRatio,currentRatio,debtToEquity,grossMargins,enterpriseToEbitda,ebitda,freeCashflow,ebitdaMargins
JPM,10179,Banks - Diversified,Financial Services,311921,10,6,7,3,6,1714521600,1703980800,86400,2,201.51,202.01,199.7701,202.69,201.51,202.01,199.7701,202.69,4.6,0.0228,1712188800,0.2565,2.83,1.116,12.198671,13.203267,6115157,6115157,8847162,7884540,7884540,201.13,201.03,800,1300,580106059776,134.4,202.69,3.8673482,192.7314,166.44,4.25,0.021090765,USD,-177463197696,0.33566,2855643972,2871670016,21150812,21780337,1711584000,1714435200,0.0074,0.00453,0.73648,2.07,0.0074,2871670016,106.815,1.8912137,1703980800,1735603200,1711843200,0.063,48509001728,16.56,15.3,12.14,3:2,960768000,-1.183,0.45547128,0.26159418,1.15,1712188800,NYQ,EQUITY,322151400,-14400000,202.01,213.09,146.11,191.55,198.27,2.0,buy,26,1626683998208,566.46,840650981376,150000992256,51.308,0.01285,0.15741,-29942999040,0.083,0.111,0.45218,USD,,,,,,,,,
BAC,28255,Banks - Diversified,Financial Services,212000,3,6,6,9,7,1714521600,1703980800,86400,2,38.49,38.8,38.775,39.24,38.49,38.8,38.775,39.24,0.96,0.0249,1717718400,0.3241,2.41,1.375,13.439654,11.774924,21498015,21498015,38662596,29742410,29742410,38.84,38.85,2900,3200,304798892032,24.96,39.24,3.2648046,36.9096,32.0313,0.94,0.024421927,USD,225707048960,0.26808,7792607990,7820369920,72033296,72084831,1711584000,1714435200,0.0092,0.13294,0.59786,1.75,0.0106,7820369920,33.705,1.1563566,1703980800,1735603200,1711843200,-0.182,23352000512,2.9,3.31,1.58,2:1,1093824000,2.418,0.34721732,0.26159418,0.24,1709164800,NYQ,EQUITY,99153000,-14400000,38.975,42.62,31.5,36.88,36.13,2.4,buy,24,830731976704,106.227,727036002304,93358997504,11.664,0.00774,0.08724,40742998016,-0.194,-0.033,0.29642,USD,3.9453,,,,,,,,
C,10013,Banks - Diversified,Financial Services,237000,4,2,4,1,1,1714521600,1703980800,86400,2,63.59,63.63,63.6015,64.39,63.59,63.63,63.6015,64.39,2.12,0.033299997,1714694400,0.6122,3.7,1.483,18.71137,9.607784,7331815,7331815,14491840,10577870,10577870,64.03,64.06,1400,1200,122419503104,38.17,64.39,1.7577645,60.6016,50.1184,2.1,0.033024058,USD,-223326912512,0.11477,1845867462,1907440000,27007224,29791538,1711584000,1714435200,0.014199999,0.030739998,0.71261,1.75,0.014199999,1907440000,99.078,0.64777243,1703980800,1735603200,1711843200,-0.268,6602999808,3.43,6.68,1.28,1:10,1304899200,-3.207,0.35067964,0.26159418,0.53,1714694400,NYQ,EQUITY,221149800,-14400000,64.18,79.68,46.79,61.84,60.68,2.2,buy,22,1029324013568,539.636,666290028544,69645000704,36.239,0.00333,0.03909,-53761998848,-0.281,-0.053,0.25557,USD,1.0128,,,,,,,,
WFC,94104,Banks - Diversified,Financial Services,224824,10,2,1,6,5,1714521600,1703980800,86400,2,61.89,62.2,61.87,62.55,61.89,62.2,61.87,62.55,1.4,0.0226,1715212800,0.28129998,3.2,1.182,12.977083,11.264014,12205372,12205372,18796255,15857420,15857420,62.1,62.11,1800,2900,217162891264,38.39,62.55,2.798455,58.428,48.3611,1.35,0.021812895,USD,70552059904,0.24188,3477739022,3486320128,38537548,39576747,1711584000,1714435200,0.0111,0.00077,0.78135,2.05,0.0111,3486320128,46.359,1.3436441,1703980800,1735603200,1711843200,-0.075,17582000128,4.8,5.53,1.84,2:1,1155513600,0.909,0.5296589,0.26159418,0.35,1706745600,NYQ,EQUITY,76253400,-14400000,62.29,70.0,48.8,63.21,64.0,2.4,buy,23,483517005824,138.69,317961994240,77600997376,21.366,0.00976,0.10261,20827000832,-0.024,0.021,0.2804,USD,24.6083,,,,,,,,
GS,10282,Capital Markets,Financial Services,44400,5,5,8,6,6,1714521600,1703980800,86400,2,458.47,461.59,460.945,465.18,458.47,461.59,460.945,465.18,11.0,0.024,1717027200,0.41889998,2.25,1.393,18.121542,12.277118,1425753,1425753,2332913,2130930,2130930,464.3,464.39,900,1100,150003335168,289.36,465.18,3.2102754,412.523,364.3068,10.75,0.023447555,USD,-160274350080,0.20146999,337669998,322463008,5863582,5086487,1711584000,1714435200,0.0182,0.00527,0.75112,2.36,0.0183,326112000,314.474,1.479232,1703980800,1735603200,1711843200,0.278,8700999680,25.67,37.89,0.78,,,-3.43,0.38854563,0.26159418,2.75,1709078400,NYQ,EQUITY,925824600,-14400000,465.18,478.99,333.53,416.93,421.55,2.2,buy,21,1050186022912,3090.689,722595020800,46726000640,138.222,0.00582,0.07944,-50028998656,0.318,0.121,0.38417,USD,3.6096,1.432,1.548,607.856,0.83492994,,,,
MS,10036,Capital Markets,Financial Services,80000,10,7,6,6,8,1714521600,1703980800,86400,2,99.38,99.0,99.99,100.98,99.38,99.0,99.99,100.98,3.4,0.0342,1714348800,0.6045,2.95,1.398,18.27909,13.19357,5041938,5041938,7980975,5587240,5587240,100.27,100.28,1000,900,163385458688,69.42,100.98,2.9995494,91.6292,85.79915,3.4,0.034212116,USD,-139013341184,0.17476,1243541976,1625159936,12349232,15128214,1711584000,1714435200,0.0076,0.23308,0.61144,1.6,0.0099,1625159936,55.604,1.8080535,1703980800,1735603200,1711843200,0.145,8960000000,5.5,7.62,1.8,2:1,948931200,-2.552,0.1843642,0.26159418,0.85,1714348800,NYQ,EQUITY,730477800,-14400000,100.535,118.0,73.6,99.1,98.0,2.5,buy,19,727047012352,447.369,416833011712,54470000640,33.686,0.00796,0.09559,-19310999552,0.188,0.06,0.34685,USD,3.3701,1.942,1.967,416.25,0.86503,,,,
AXP,10285,Credit Services,Financial Services,74600,2,6,1,6,2,1714521600,1703980800,86400,2,241.53,241.63,240.25,242.84,241.53,241.63,240.25,242.84,2.8,0.0116,1720137600,0.2059,1.31,1.203,19.879835,17.47757,1507006,1507006,2947845,2787270,2787270,241.58,241.61,900,1000,173740441600,140.91,243.54,3.0535421,227.1944,185.83385,2.5,0.010350681,USD,170704273408,0.15809,565933256,719302976,7322029,6661478,1711584000,1714435200,0.010199999,0.21187,0.65054,2.2,0.0128999995,719302976,40.006,6.0375943,1703980800,1735603200,1711843200,0.342,8869000192,12.15,13.82,1.42,10000:8753,1128297600,3.0,0.5880729,0.26159418,0.7,1712188800,NYQ,EQUITY,76253400,-14400000,241.54,247.43,115.81,211.28,221.43,2.5,buy,23,53775998976,74.761,50746998784,56897998848,77.996,0.03562,0.32854998,24487999488,0.388,0.099,0.21673,USD,2.5023,1.618,1.621,176.425,0.55731,,,,
COF,22102,Credit Services,Financial Services,51300,2,5,7,2,2,1714521600,1703980800,86400,2,143.08,144.04,143.5379,145.38,143.08,144.04,143.5379,145.38,2.4,0.0168,1715299200,0.1879,1.78,1.463,11.2918625,8.946684,1479117,1479117,2677806,1602610,1602610,143.95,143.99,1200,800,55115161600,88.23,149.94,2.0434213,141.7884,121.07805,2.4,0.016773833,USD,61218410496,0.19305,364418579,381921984,12396075,11298013,1711584000,1714435200,0.0325,0.0434,0.89989,5.02,0.032899998,381921984,138.605,1.0411601,1703980800,1735603200,1711843200,0.333,4895000064,12.78,16.13,-10.8,3:1,928281600,2.27,0.51103604,0.26159418,0.6,1715299200,NYQ,EQUITY,784996200,-14400000,144.31,189.0,111.0,152.48,154.0,2.7,hold,17,52627001344,137.795,54355001344,26972000256,70.552,0.01092,0.092609994,20593000448,0.355,0.1,0.23828,USD,1.8127,,,,,,,,
USB,55402,Banks - Regional,Financial Services,70000,1,5,1,6,1,1714521600,1703980800,86400,2,41.95,42.46,41.955,42.61,41.95,42.46,41.955,42.61,1.96,0.0467,1711497600,0.64449996,3.92,1.062,13.995017,9.819347,5216166,5216166,7761452,6403470,6403470,42.05,42.06,1300,2200,65734377472,28.93,45.85,2.6130695,42.2766,39.07595,1.94,0.04624553,USD,67796291584,0.20075001,1555279186,1560460032,19774020,23454795,1711584000,1714435200,0.0127,0.0012800001,0.79823,2.65,0.0127,1566089984,31.248,1.3480864,1703980800,1735603200,1711843200,-0.223,4668000256,3.01,4.29,1.8,3:1,924220800,2.695,0.37766826,0.26159418,0.49,1711497600,NYQ,EQUITY,105283800,-14400000,42.125,54.0,42.0,47.2,47.0,2.4,buy,21,79658000384,51.048,74720002048,25155999744,16.232,0.0074400003,0.0928,10266000384,-0.254,-0.087,0.32192,USD,1.1517,,,,,,,,
PNC,15222-2401,Banks - Regional,Financial Services,54441,1,6,1,5,2,1714521600,1703980800,86400,2,159.4,160.91,160.22,161.88,159.4,160.91,160.22,161.88,6.2,0.038900003,1712880000,0.5164,3.48,1.153,13.530646,11.261355,981875,981875,1881642,1231760,1231760,160.99,161.0,800,800,64122712064,109.4,162.24,3.1478994,154.6788,138.91396,6.15,0.038582183,USD,84512407552,0.2568,394640362,397907008,4450755,4282393,1711584000,1714435200,0.0112,0.00366,0.84634,2.6,0.0112,397907008,113.296,1.4223803,1703980800,1735603200,1711843200,-0.207,4767000064,11.91,14.31,-41.67,2:1,721872000,4.149,0.33668768,0.26159418,1.55,1712880000,NYQ,EQUITY,185466600,-14400000,161.15,199.0,152.0,168.42,166.0,2.4,buy,20,61819998208,155.363,76629000192,20369999872,50.83,0.00939,0.10547,9992999936,-0.221,-0.07,0.33186,USD,3.7027,,,,,,,,
