symbol,zip,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,firstTradeDateEpochUtc,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio,earningsQuarterlyGrowth,earningsGrowth
JNJ,08933,Drug Manufacturers - General,Healthcare,131900,6,4,6,2,4,1714521600,1703980800,86400,2,151.38,151.82,151.301,152.82,151.38,151.82,151.301,152.82,4.96,0.0328,1716163200,0.7073,2.68,0.547,22.672108,15.070019,3258786,3258786,7517811,7571370,7571370,152.4,152.44,800,800,367764766720,143.13,175.97,4.2939095,152.6616,157.14806,4.76,0.03144405,USD,371737100288,0.44923002,2401841758,2406680064,17674435,15943156,1711584000,1714435200,0.0073,0.00084,0.71206003,2.21,0.0073,2406680064,29.094,5.2522855,1703980800,1735603200,1711843200,17072000000,6.74,10.14,3.16,2:1,992390400,4.34,12.143,-0.047864616,0.26159418,1.19,1708041600,NYQ,EQUITY,-252322200,-14400000,152.81,199.19,143.6,160.02,157.5,2.3,buy,22,26218000384,10.894,30613000192,33632000000,0.845,1.17,85647998976,48.032,34.477,0.08009,0.24235001,24298500096,23190999040,0.023,0.69338,0.35743,0.29509002,USD,0.9062,,
PFE,10001-2192,Drug Manufacturers - General,Healthcare,88000,10,7,7,1,7,1714521600,1703980800,86400,2,28.38,28.49,28.48,28.985,28.38,28.49,28.48,28.985,1.68,0.0592,1715212800,4.4323997,4.02,0.585,,11.354331,25368545,25368545,42741719,52900290,52900290,28.8,28.81,4000,3100,163769958400,25.2,40.37,2.9836571,27.0666,29.95315,1.65,0.058139537,USD,219066908672,-0.00563,5657809679,5666590208,62509317,64997268,1711584000,1714435200,0.011,0.00048000002,0.69064003,1.7,0.011,5678569984,16.284,1.7710636,1703980800,1735603200,1711843200,-288000000,-0.05,2.54,-10.59,1054:1000,1605571200,3.991,22.77,-0.22775513,0.26159418,0.42,1706140800,NYQ,EQUITY,76253400,-14400000,28.84,41.69,25.02,29.17,28.26,2.5,buy,22,11928999936,2.105,9621000192,69902000128,0.67,1.047,54889000960,75.522,9.717,0.0093,-0.00262,3464875008,8577999872,-0.195,0.59413,0.17528,0.31631002,USD,1.029,-0.438,-0.434
MRK,07065,Drug Manufacturers - General,Healthcare,70000,7,5,5,3,4,1714521600,1703980800,86400,2,128.66,128.88,128.83,131.7,128.66,128.88,128.83,131.7,3.08,0.0239,1710374400,3.3332999,2.89,0.402,146.33333,14.237838,5002580,5002580,8245434,6763600,6763600,131.42,131.44,800,800,335204155392,99.14,133.1,5.459084,126.64,114.43695,2.96,0.023006372,USD,354530852864,0.03756,2527943319,2532809984,18754018,19592222,1711584000,1714435200,0.0074,0.00053,0.78742,2.72,0.0074,2545210112,15.937,8.263788,1703980800,1735603200,1711843200,2305999872,0.9,9.25,0.26,1048:1000,1622678400,5.774,16.714,0.12112236,0.26159418,0.77,1710374400,NYQ,EQUITY,-252322200,-14400000,131.7,143.6,109.33,131.02,132.49,1.8,buy,25,5618999808,2.218,21211000832,34218999808,0.725,1.253,61403000832,84.65,24.215,0.10257,0.05311,9593875456,14757000192,0.089,0.74851,0.34544,0.42466,USD,0.1006,0.688,0.685
ABBV,60064-6400,Drug Manufacturers - General,Healthcare,50000,2,5,3,9,6,1714521600,1703980800,86400,2,161.59,162.31,161.87,164.25,161.59,162.31,161.87,164.25,6.2,0.038399998,1712880000,1.7827001,4.4,0.593,48.877975,13.6177435,3573915,3573915,5662667,4857920,4857920,163.53,163.6,800,800,290008825856,130.96,182.89,5.330751,170.7404,158.06085,6.06,0.037502322,USD,341676589056,0.11016,1761982872,1765869952,14477382,13120924,1711584000,1714435200,0.0082,0.00105,0.72735,2.6,0.0082,1765869952,4.535,36.213894,1703980800,1735603200,1711843200,5951000064,3.36,12.06,2.29,,,6.28,13.083,0.12724102,0.26159418,1.55,1712880000,NYQ,EQUITY,1357137000,-14400000,164.23,207.0,161.0,182.41,182.5,2.2,buy,24,18069000192,10.232,26115999744,74358996992,0.723,0.936,54402998272,924.059,30.775,0.07705,0.56244,23611500544,22685999104,0.007,0.69174004,0.48005,0.28294,USD,0.4255,4.728,4.964
UNH,55343,Healthcare Plans,Healthcare,440000,6,5,5,1,2,1714521600,1703980800,86400,2,513.88,514.83,514.83,522.59,513.88,514.83,514.83,522.59,7.52,0.0146,1709856000,0.4591,1.37,0.561,31.583284,16.666132,1944808,1944808,4367065,2817040,2817040,516.22,516.42,2200,1100,476437315584,436.38,554.7,1.2554773,483.2634,508.9494,7.52,0.014633766,USD,524124487680,0.04048,917531881,920385024,7467490,7770055,1711584000,1714435200,0.0081,0.00226,0.89483,1.36,0.0081,920385024,94.226,5.493707,1703980800,1735603200,1711843200,15361000448,16.39,31.06,1.44,2:1,1117497600,1.381,14.974,0.059961677,0.26159418,1.88,1709856000,NYQ,EQUITY,466867800,-14400000,517.65,675.0,460.0,567.48,565.0,1.8,buy,23,32710000640,35.539,35001999360,73637003264,0.758,0.817,379486994432,75.979,410.145,0.070879996,0.17222,-930124992,13884999680,0.086,0.24054001,0.09224,0.07947,USD,1.4529,,
TMO,02451,Diagnostics & Research,Healthcare,122000,5,7,3,1,2,1714521600,1703980800,86400,2,594.8,600.0,595.1,601.92,594.8,600.0,595.1,601.92,1.56,0.0026,1710374400,0.0924,0.22,0.799,38.439667,24.534618,723090,723090,1346780,1373610,1373610,598.63,598.89,800,1000,228605902848,415.6,603.82,5.3799753,576.6488,531.85626,1.44,0.0024209819,USD,255565873152,0.142,380784935,381716000,2768516,2581175,1711584000,1714435200,0.0073,0.0018600001,0.92163,2.01,0.0073,381716000,119.24,5.0225596,1703980800,1735603200,1711756800,6033999872,15.58,24.41,4.13,3:2,834019200,6.014,23.712,0.1401844,0.26159418,0.39,1710374400,NYQ,EQUITY,322151400,-14400000,598.89,670.0,553.0,622.29,620.0,2.1,buy,24,7249999872,18.993,10778000384,35663998976,1.191,1.696,42491998208,78.171,110.369,0.048210002,0.13616,6073625088,8928000000,-0.034,0.40365002,0.25365,0.16675,USD,2.3962,0.03,0.042
MDT,2,Medical Devices,Healthcare,95000,9,6,3,6,6,1714521600,1703980800,86400,2,84.3,84.69,83.69,84.745,84.3,84.69,83.69,84.745,2.76,0.0327,1710979200,0.873,2.52,0.795,26.901587,15.548624,5161269,5161269,6157424,4825120,4825120,84.37,84.39,800,900,112519462912,68.84,91.0,3.481419,82.855,81.1722,2.75,0.03262159,USD,129000439808,0.12998,1325498850,1327820032,14027583,12434732,1711584000,1714435200,0.0106,0.0011,0.85619,2.32,0.0106,1327820032,38.952,2.175498,1682640000,1714262400,1706227200,4200999936,3.15,5.45,4.61,2:1,938390400,3.991,14.867,-0.04831791,0.26159418,0.69,1710979200,NYQ,EQUITY,105197400,-14400000,84.74,104.0,75.0,94.0,95.5,2.5,buy,26,8320999936,6.267,8677000192,25181999104,1.459,2.299,32320000000,48.431,24.298,0.042290002,0.081709996,5508250112,6470000128,0.047,0.65724,0.26847,0.19173999,USD,1.5968,0.082,0.078
ABT,60064-6400,Medical Devices,Healthcare,114000,8,6,9,2,7,1714521600,1672444800,86400,2,104.01,104.1,104.18,104.79,104.01,104.1,104.18,104.79,2.2,0.0212,1712880000,0.648,1.6,0.751,32.607475,20.363813,3573279,3573279,5730208,5373960,5373960,104.37,104.36,800,1100,183418470400,89.67,121.64,4.5483923,110.663,106.3741,2.12,0.020382654,USD,189226385408,0.13961,1728326860,1739629952,14478910,14481157,1711584000,1714435200,0.0083,0.0053100004,0.77118,2.74,0.0084,1752349952,22.309,4.6918283,1703980800,1735603200,1711843200,5608000000,3.21,5.14,2.79,10000:4798,1357084800,4.692,18.251,-0.044201434,0.26159418,0.55,1712880000,NYQ,EQUITY,322151400,-14400000,104.67,143.0,107.0,126.23,125.0,2.0,buy,21,6650999808,3.823,10368000000,14705000448,0.945,1.596,40326000640,37.664,23.181,0.060900003,0.14762,4607124992,7143000064,0.022,0.55265,0.2571,0.15405,USD,5.6688,-0.071,-0.067
BMY,08543,Drug Manufacturers - General,Healthcare,34100,9,7,1,2,4,1714521600,1703980800,86400,2,44.71,45.0,44.4828,45.17,44.71,45.0,44.4828,45.17,2.4,0.0537,1712188800,0.5984,3.25,0.444,,6.455202,7417992,7417992,15360139,12004810,12004810,44.5,44.51,1300,1000,91259461632,43.33,67.35,2.0042048,49.4104,53.00055,2.34,0.052337285,USD,138476650496,-0.13502,2022964812,2027100032,28024749,35116032,1711584000,1714435200,0.0138,0.00105,0.80444,2.07,0.0138,2042969984,8.135,5.4910874,1703980800,1735603200,1711843200,-6147999744,-3.1,6.92,-17.94,1000000:951777,997142400,3.041,7.62,-0.32797235,0.26159418,0.6,1712188800,NYQ,EQUITY,76253400,-14400000,44.67,86.0,37.0,53.3,53.0,2.7,hold,21,9669999616,4.77,18172000256,57457000448,0.919,1.11,45533999104,347.214,22.212,0.05389,-0.25333,16369750016,13724000256,0.047,0.76027,0.39909,0.1925,USD,33.7434,,
LLY,46285,Drug Manufacturers - General,Healthcare,43000,3,4,1,9,5,1714521600,1703980800,86400,2,762.68,764.15,763.33,787.0,762.68,764.15,763.33,787.0,5.2,0.0068,1715731200,0.6907,1.42,0.371,115.723526,40.667698,2140711,2140711,2851098,2737920,2737920,782.67,782.8,1200,1300,747892703232,419.8,800.78,20.814056,760.447,641.1719,4.69,0.0061493684,USD,711670890496,0.17083,898100348,950404992,5108914,5420666,1711584000,1714435200,0.0054,0.00164,0.83916,1.96,0.006,964849024,14.229,55.303955,1703980800,1735603200,1711843200,6138399744,6.8,19.35,0.98,2:1,876960000,19.806,53.214,0.7463597,0.26159418,1.3,1707868800,NYQ,EQUITY,76253400,-14400000,786.92,1023.0,600.0,858.83,875.0,2.0,buy,25,2652499968,2.946,13373700096,26346500096,0.674,1.354,35932098560,204.278,39.919,0.12604,0.50747,-1232225024,3675500032,0.26,0.80160004,0.37219003,0.312,USD,1.3028,0.668,0.664
