stock,0_Absolute energy,0_Average power,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_Entropy,0_Histogram_0,0_Histogram_1,0_Histogram_2,0_Histogram_3,0_Histogram_4,0_Histogram_5,0_Histogram_6,0_Histogram_7,0_Histogram_8,0_Histogram_9,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Peak to peak distance,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance
BA,130514523.76536462,3720482.4334482504,701.0,2807.0,160.91000366210938,212.9488067626953,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.9824691808337971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.68998718261719,-0.4021897580519984,265.7672119140625,190.18153311337252,26.118971579957456,199.05999755859375,17.790008544921875,113.6500015258789,152.1172103881836,192.85803496023118,-0.32158486248689927,32.01883994414754,1025.2061113689376
CAT,227608642.5427615,6488273.732689895,701.0,2807.0,207.32000732421875,286.1199951171875,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.9873847794661054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.44999694824219,-0.22934116136837002,380.7200012207031,249.48502117427674,40.360091444467756,242.6300048828125,31.350006103515625,160.82000732421875,219.89999389648438,254.68460288881886,0.6140264337650675,51.20030427942832,2621.4711583060466
DE,526317057.2567377,15003336.865927529,701.0,2807.0,362.7799987792969,412.1600036621094,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.9814355246238288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.630706787109375,0.31739368730473316,449.5799865722656,385.93715658375396,25.289623560409105,388.125,20.964996337890625,286.4150085449219,163.16497802734375,387.286214482771,-0.5851837596628865,32.297416250249725,1043.123096441895
DOV,72999914.69526851,2080955.3789985324,701.0,2807.0,131.7899932861328,152.25,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.9549487242768238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.384994506835938,0.41706994940765885,185.9499969482422,143.4632577143289,11.059451761225523,141.92999267578125,7.7899932861328125,115.33999633789062,70.61000061035156,144.23461253328585,0.7684846959906639,14.896883520359454,221.9171386191571
EMR,29698676.19331669,846598.5231846264,701.0,2807.0,83.25,97.19000244140625,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.9371144774272371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.840003967285156,-0.01401011740201863,116.08999633789062,91.51615413514662,7.497382934513893,89.87000274658203,6.0099945068359375,72.55000305175781,43.53999328613281,91.9976770515287,0.7057482123296601,9.400325270407158,88.36611518945541
ETN,146257907.36175734,4169267.5986817945,701.0,2807.0,147.50999450683594,236.9550018310547,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.9839269684972372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.8699951171875,-0.19466132743847187,337.510009765625,196.51702663653188,45.79841623711534,174.90499877929688,35.54499816894531,122.7300033569336,214.7800064086914,204.1587479058106,0.8624901791417329,55.33400932884714,3061.8525884049423
FTV,17139496.22534172,488583.1307109954,701.0,2807.0,63.880001068115234,76.4800033569336,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.9250847245483637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.170005798339844,-0.4140945614730627,86.46499633789062,69.45739884810014,6.349848451236113,67.5199966430664,4.489997863769531,53.0099983215332,33.45499801635742,69.8887611543628,0.3644793064801199,7.752978843483747,60.108680947506585
GD,200812324.14580482,5724410.608489306,701.0,2807.0,218.99000549316406,252.3699951171875,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.9720555469416705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.30999755859375,-0.009302519678680898,297.44500732421875,238.19856153060377,18.084249441774574,231.1199951171875,13.909988403320312,203.2528076171875,94.19219970703125,239.22331110290443,0.8814003834090124,22.118721929355665,489.2378597881592
GE,26238252.502088673,747954.7463537251,701.0,2807.0,48.06575012207031,99.81244659423828,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.9789219266158221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8323974609375,0.24401205897759848,170.25,80.31179013799894,25.18038858293008,81.00558471679688,21.42059326171875,37.56480026245117,132.68519973754883,86.47205289028214,0.8227288438159603,32.053584758803005,1027.4322958897683
HON,133864818.7286323,3815986.850873213,701.0,2807.0,186.60000610351562,203.47000122070312,0.00028498147620404675,0.0005699629524080935,0.0008549444286121402,0.001139925904816187,0.0014249073810202336,0.0017098888572242804,0.001994870333428327,0.002279851809632374,0.002564833285836421,0.002849814762040467,0.9529920630804466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.25,-0.20824430070401423,220.92999267578125,195.02459502852042,8.397638994242541,195.58749389648438,6.602508544921875,166.8800048828125,54.04998779296875,195.31767368334275,-0.189031239886424,10.69583970683789,114.40098703437008
