symbol,zip,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,firstTradeDateEpochUtc,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
HON,28202,Conglomerates,Industrials,95000,5,6,9,3,6,1714521600,1703980800,86400,2,203.21,204.37,202.77,205.35,203.21,204.37,202.77,205.35,4.32,0.021300001,1715817600,0.48900002,1.99,1.017,23.739582,18.904146,1884228,1884228,2819903,2774690,2774690,204.9,205.29,300,300,133952217088,174.88,210.87,3.6298466,197.7356,194.17455,4.22,0.020766692,USD,147274416128,0.15519,618990901,651185984,6568326,7591241,1711584000,1714435200,0.0101,0.00092,0.7972,2.33,0.0101,653075008,25.268,8.117382,1703980800,1735603200,1711843200,0.05,5727000064,8.64,10.85,2.46,1032:1000,1540771200,3.991,16.509,0.036679983,0.26159418,1.08,1709164800,NMS,EQUITY,-252322200,-14400000,205.11,250.0,175.0,219.12,221.0,2.2,buy,22,12005000192,18.436,8920999936,26353999872,1.193,1.664,36902998016,154.551,55.988,0.07704,0.33198002,4476250112,6572000256,0.077,0.027,0.37458,0.24174,0.22262,USD,2.0956
GE,45215,Aerospace & Defense,Industrials,125000,10,8,2,2,5,1714521600,1703980800,86400,2,160.0,160.0,159.23,163.49,160.0,160.0,159.23,163.49,1.12,0.0069999998,1712880000,0.063200004,0.48,1.245,42.910763,32.632732,5869721,5869721,8417378,5281500,5281500,162.96,163.0,800,1200,178957795328,79.57702,170.8,2.5741546,149.64041,110.193344,0.52,0.0032499998,USD,178534072320,0.05052,1089254049,1094610048,10425627,11360195,1711584000,1714435200,0.0095,0.00224,0.77852994,1.12,0.0095999995,1094610048,27.275,5.994134,1703980800,1735603200,1711843200,-0.795,4192000000,3.81,5.01,1.43,1253:1000,1712016000,2.568,21.046,0.9375664,0.26159418,0.28,1712880000,NYQ,EQUITY,-252322200,-14400000,163.49,211.0,165.0,183.93,180.02,1.8,buy,14,20284000256,18.531,8482999808,22432999424,0.715,1.166,69520998400,72.125,63.81,0.02431,0.13635,6139125248,6430000128,-0.792,0.108,0.22494,0.12202,0.09612001,USD,1.923
MMM,55144-1000,Conglomerates,Industrials,85000,4,7,10,4,9,1714521600,1703980800,86400,2,100.08,100.19,100.155,101.67,100.08,100.19,100.155,101.67,6.04,0.060399998,1707955200,0.6167,4.29,1.044,,14.0947075,3386141,3386141,5949563,4971880,4971880,101.3,101.32,800,800,56000135168,71.36288,101.74,1.7150073,90.69835,84.42797,6.01,0.06005196,USD,66732396544,-0.21569,552503547,553361024,9091474,7121829,1711584000,1714435200,0.0164,0.00107,0.64704,1.79,0.0165,553361024,8.794,11.507846,1703980800,1735603200,1711843200,-0.049,-7042999808,-12.73,7.18,-3.12,1196:1000,1711929600,2.044,8.192,0.1948061,0.26159418,1.51,1707955200,NYQ,EQUITY,-252322200,-14400000,101.2,106.55,80.6,94.5,94.5,2.9,hold,13,10970999808,19.826,8145999872,22256001024,1.195,1.643,32653000704,451.166,58.89,0.07582,-0.69286,8903374848,6172000256,-0.051,-0.003,0.4455,0.24947001,0.21704,USD,11.5236
CAT,75039,Farm & Heavy Construction Machinery,Industrials,113200,8,4,7,5,6,1714521600,1703980800,86400,2,358.18,361.47,358.18,363.29,358.18,361.47,358.18,363.29,5.2,0.0145000005,1713484800,0.2305,2.3,1.178,16.248646,15.771373,1357265,1357265,2316359,2290360,2290360,359.95,360.0,900,1100,175934373888,205.6,382.01,2.6260037,353.783,297.46814,5.2,0.01451784,USD,208743776256,0.16789,487721925,489052992,10818408,13057733,1711584000,1714435200,0.0221,0.00202,0.73417,4.1,0.0222,522108992,36.051,9.978781,1703980800,1735603200,1711843200,0.47,11248000000,22.14,22.81,2.38,2:1,1121299200,3.116,13.102,0.6887318,0.26159418,1.3,1713484800,NYQ,EQUITY,-252322200,-14400000,359.745,440.0,175.0,334.83,338.0,2.6,hold,21,4362999808,8.917,15932000256,37852999680,0.751,1.349,66996998144,214.525,132.661,0.10358,0.62789,7145249792,13363999744,0.537,-0.004,0.32257998,0.2378,0.2216,USD,2.7523
DE,61265,Farm & Heavy Construction Machinery,Industrials,83000,9,5,6,6,7,1714521600,1703980800,86400,2,412.78,414.68,412.255,416.53,412.78,414.68,412.255,416.53,5.88,0.014199999,1711497600,0.1551,1.34,1.051,12.097085,15.160028,1401699,1401699,1439063,1365050,1365050,414.99,415.13,900,800,115499089920,345.55,450.0,1.9010631,396.512,389.84674,5.32,0.012888222,USD,175326707712,0.16389999,257923934,278358016,3299585,3004849,1711584000,1714435200,0.0119,0.00166,0.78302,2.62,0.0119,278358016,79.304,5.2321444,1698537600,1730160000,1706400000,-0.106,9957999616,34.3,27.37,-2.23,2:1,1196726400,2.886,10.741,0.121471405,0.26159418,1.47,1711497600,NYQ,EQUITY,76253400,-14400000,414.93,495.0,365.0,421.5,405.0,2.3,buy,21,3828000000,13.752,16323000320,64149999616,1.829,2.081,60755001344,289.238,211.12,0.099029996,0.45608002,2432250112,8926999552,-0.049,-0.037,0.34724998,0.26867,0.18506001,USD,2.3653
UPS,30328,Integrated Freight & Logistics,Industrials,500000,2,5,7,10,9,1714521600,1703980800,86400,2,147.94,147.85,147.792,149.0,147.94,147.85,147.792,149.0,6.52,0.044099998,1715299200,0.9392,3.12,1.049,21.416063,15.054425,1385480,1385480,3986427,2799320,2799320,148.04,148.07,1100,1000,128886358016,133.68,192.98,1.4362357,149.3196,154.4043,6.49,0.043869134,USD,146479382528,0.06604,728491332,729398976,12261741,10427022,1711584000,1714435200,0.0143,8.9999994e-05,0.72602,3.15,0.0168,870942016,19.777,7.4826818,1703980800,1735603200,1711843200,-0.413,5926000128,6.91,9.83,1.76,,,1.632,11.844,-0.13667136,0.26159418,1.63,1715299200,NYQ,EQUITY,942244200,-14400000,147.985,205.0,100.0,161.63,165.25,2.5,buy,26,4512999936,5.275,12366999552,24397000704,0.976,1.101,89739001856,144.08,104.652,0.0799,0.32044998,3242625024,11196999680,-0.406,-0.053,0.22327,0.13781,0.08173,USD,1.8489
LMT,20817,Aerospace & Defense,Industrials,122000,7,9,1,7,7,1714521600,1703980800,86400,2,467.18,466.28,463.51,467.4,467.18,466.28,463.51,467.4,12.6,0.027,1717372800,0.45009997,2.61,0.455,16.980242,16.55619,559071,559071,1067549,731260,731260,464.48,464.52,1000,900,112153657344,393.77,479.5,1.6104774,452.1138,442.8969,12.3,0.026328182,USD,128722305024,0.09729999,175865062,239938000,1940400,2175332,1711584000,1714435200,0.0081,0.0007,0.7505,1.74,0.0095999995,241674000,27.824,16.678766,1703980800,1735603200,1711843200,-0.085,6776000000,27.33,28.03,4.76,2:1,915408000,1.848,12.677,0.021605015,0.26159418,3.15,1709164800,NYQ,EQUITY,221149800,-14400000,464.07,551.0,378.0,488.95,487.5,2.7,hold,20,2790000128,11.628,10154000384,19417999360,1.079,1.297,69640003584,292.0,282.172,0.10222,0.83162004,5144999936,7991000064,-0.033,0.137,0.12231,0.14581001,0.12003,USD,4.833
BA,22202,Aerospace & Defense,Industrials,171000,6,2,10,5,8,1714521600,1703980800,86400,2,180.76,180.14,176.17,180.67,180.76,180.14,176.17,180.67,,,1581552000,,2.48,1.542,,32.098732,5134322,5134322,7735306,6036040,6036040,177.19,177.25,800,1100,108771041280,159.7,267.54,1.4229225,180.6828,206.449,,,USD,151369711616,-0.02814,580335451,613884032,12262851,9294893,1711584000,1714435200,0.02,0.00074,0.65526,1.58,0.02,613884032,-27.73,,1703980800,1735603200,1711843200,,-2151000064,-3.54,5.52,-1.46,2:1,865814400,1.98,56.587,-0.1262145,0.26159418,2.055,1581552000,NYQ,EQUITY,-252322200,-14400000,177.185,277.94,129.71,207.49,213.09,2.2,buy,26,7528999936,12.265,2675000064,47940001792,0.217,1.142,76442001408,,125.629,0.0038299998,,3065250048,2916000000,,-0.075,0.11485,0.03499,0.0041,USD,
NOC,22042,Aerospace & Defense,Industrials,101000,10,4,4,1,4,1714521600,1451520000,86400,2,474.07,471.85,466.325,473.2094,474.07,471.85,466.325,473.2094,7.48,0.015800001,1708646400,0.5213,1.57,0.333,32.701603,17.076181,498029,498029,948131,889750,889750,469.37,469.68,800,800,69944295424,414.56,496.89,1.7432904,466.6046,458.211,7.48,0.01577826,USD,85250605056,0.053790003,139119450,147990000,2050636,1814985,1711584000,1714435200,0.0139,0.00244,0.84125,1.77,0.0139,148946000,96.044,4.889374,1703980800,1735603200,1711843200,0.121,2158000128,14.36,27.5,0.65,10000:9035,1301529600,2.125,20.572,0.05975318,0.26159418,1.87,1708646400,NYQ,EQUITY,378657000,-14400000,469.595,585.0,396.0,505.99,506.0,2.7,hold,20,3060999936,20.684,4144000000,18154000384,0.963,1.127,40121999360,127.638,266.459,0.03809,0.14701,1821874944,3871000064,0.149,0.089,0.16697,0.10328,0.12227,USD,0.9563
RTX,22209,Aerospace & Defense,Industrials,185000,7,6,8,2,5,1714521600,1703980800,86400,2,105.7,105.49,105.14,105.98,105.7,105.49,105.14,105.98,2.52,0.0238,1715817600,0.92910004,2.61,0.58,41.511814,17.370676,3268762,3268762,8023814,6751970,6751970,105.32,105.31,1100,800,140315328512,68.56,107.82,1.9759661,98.6128,86.69195,2.36,0.022327341,USD,180816576512,0.048979998,1204981454,1329510016,33923307,34633837,1711584000,1714435200,0.0255,0.00087,0.85497004,4.21,0.0255,1330759936,45.498,2.3174646,1703980800,1735603200,1711843200,0.198,3478000128,2.54,6.07,1.72,15890:10000,1585872000,2.546,19.347,0.09454286,0.26159418,0.59,1708560000,NYQ,EQUITY,-244546200,-14400000,105.44,120.0,73.0,103.23,105.0,2.8,hold,22,5607000064,4.218,9345999872,44253999104,0.644,1.067,71011000320,71.22,50.984,0.01985,0.05335,7006000128,9088000000,0.32,0.121,0.17013,0.13161,0.09536,USD,0.9093
