symbol,zip,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,firstTradeDateEpochUtc,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
WMT,72716,Discount Stores,Consumer Defensive,2100000,9,8,10,1,9,1714521600,1735603200,86400,2,59.86,59.83,59.47,59.94,59.86,59.83,59.47,59.94,0.83,0.0139,1723680000,0.39790002,1.6,0.494,31.232985,23.03282,16304159,16304159,18452391,14884390,14884390,59.61,59.61,1100,1800,485224808448,48.336666,61.66,0.74865925,60.188,55.49815,0.76,0.012696291,USD,542474797056,0.023929998,4327172138,8059789824,33934650,37138652,1711584000,1714435200,0.0042,0.46235,0.34916002,2.45,0.0078,8133850112,10.412,5.729447,1706659200,1738281600,1706659200,-0.124,15511000064,1.91,2.59,3.17,3:1,1708905600,0.837,13.958,0.20096302,0.26159418,0.208,1710374400,NYQ,EQUITY,83597400,-14400000,59.655,75.0,56.67,66.03,66.54,1.8,buy,36,9866999808,1.224,38864998400,63276998656,0.202,0.832,648125022208,69.865,80.243,0.06813,0.18641001,8848624640,35726000128,-0.124,0.057,0.24375,0.059970003,0.041840002,USD,2.4626
HD,30339,Home Improvement Retail,Consumer Cyclical,465000,5,7,5,1,2,1714521600,1703980800,86400,2,340.5,345.18,344.69,350.44,340.5,345.18,344.69,350.44,9.0,0.026400002,1709683200,0.571,2.29,1.011,23.417841,21.407726,2999310,2999310,3578770,3718910,3718910,348.46,348.5,1300,1000,346495582208,274.26,396.87,2.2821286,356.6354,335.1227,6.43,0.018883994,USD,383501500416,0.09794,987002220,991030976,8625503,9886447,1711584000,1714435200,0.0087,0.00059,0.72449,2.27,0.0087,992369024,1.84,189.76086,1706400000,1738022400,1714262400,-0.07,14869999616,14.91,16.31,5.3,3:2,946598400,2.526,15.648,0.16454053,0.26159418,2.25,1709683200,NYQ,EQUITY,370013400,-14400000,349.16,425.0,307.0,382.01,393.25,2.3,buy,31,4264000000,4.311,24508000256,51010998272,0.344,1.339,151830003712,2802.802,152.785,0.17042999,13.6297,14720374784,21055000576,-0.05,-0.023,0.33481997,0.16142,0.13946,USD,1.8916
COST,98027,Discount Stores,Consumer Defensive,316000,8,4,3,1,2,1714521600,1703980800,86400,2,777.9,778.52,778.52,789.66,777.9,778.52,778.52,789.66,4.64,0.006,1714003200,0.26700002,0.73,0.759,51.59344,45.14056,1069169,1069169,2007022,1723540,1723540,786.37,787.8,100,100,348948955136,476.75,789.66,1.4023701,734.21,643.2757,4.08,0.0052448898,USD,344113774592,0.0273,442146914,443504000,6140853,6359750,1711584000,1714435200,0.0138,0.00191,0.72592,3.55,0.0139,443504000,46.804,16.810528,1693699200,1725321600,1708214400,0.189,6793999872,15.25,17.43,4.83,2:1,947808000,1.383,31.08,0.5715152,0.26159418,1.16,1714003200,NMS,EQUITY,521299800,-14400000,786.8,870.0,650.0,784.13,800.0,2.1,buy,29,10321000448,23.271,11072000000,9432999936,0.378,0.927,248828002304,45.438,560.607,0.08351,0.31194,3954749952,10648000512,0.188,0.057,0.12550001,0.044499997,0.03528,USD,5.0312
BABA,311121,Internet Retail,Consumer Cyclical,,,,,,,,1546214400,86400,2,79.51,80.39,79.78,81.13,79.51,80.39,79.78,81.13,1.0,0.0126,1703030400,0.1831,,,15.112872,8.526842,16298782,16298782,15135737,20136620,20136620,81.03,81.04,1000,1300,205962493952,66.63,102.5,0.21883711,74.292,79.47175,,,USD,1297158111232,0.08501001,16211391270,2433629952,40763365,41561483,1711584000,1714435200,0.018099999,0.00022,0.14847,3.09,,2542589952,399.35,0.2028421,1711843200,1743379200,1711843200,-0.858,79741001728,5.36,9.5,48.56,,,1.378,8.917,-0.12318039,0.26159418,1.0,1703030400,NYQ,EQUITY,1411133400,-14400000,81.005,145.97,79.98,106.13,108.97,1.8,buy,41,571028996096,28.894,145463001088,170776002560,1.355,1.786,941168001024,15.349,373.072,0.04401,0.06382,110793498624,182592995328,-0.858,0.066,0.37703,0.15456,0.06655,CNY,0.6588
TGT,55403,Discount Stores,Consumer Defensive,415000,5,4,2,1,1,1714521600,1703980800,86400,2,158.96,160.61,157.04,160.955,158.96,160.61,157.04,160.955,4.4,0.0277,1715644800,0.48770002,2.24,1.166,17.646135,14.979087,1833705,1833705,3731985,3183390,3183390,157.44,157.47,1100,900,73791250432,102.93,181.86,0.68699265,167.1836,138.7311,4.36,0.027428284,USD,89354272768,0.03852,460291285,462632000,6344808,7060535,1711584000,1714435200,0.0137,0.00178,0.82385004,2.15,0.0137,468278016,29.094,5.416237,1706918400,1738540800,1706918400,0.578,4137999872,8.93,10.52,0.92,2:1,964051200,0.832,10.269,-0.012425423,0.26159418,1.1,1715644800,NYQ,EQUITY,99153000,-14400000,157.58,220.0,140.0,185.37,190.0,2.2,buy,28,3804999936,8.241,8700999680,19768999936,0.27,0.906,107411996672,147.178,232.745,0.06785,0.33555,2332750080,8620999680,0.574,0.017,0.27628002,0.08101,0.0594,USD,2.4392
TJX,01701,Apparel Retail,Consumer Cyclical,349000,8,6,9,4,8,1714521600,1735603200,86400,2,98.665,98.5,98.195,99.3399,98.665,98.5,98.195,99.3399,1.5,0.0150999995,1715731200,0.3348,1.34,0.878,25.498707,21.727373,2716604,2716604,5397213,5312770,5312770,98.28,98.3,800,900,111466315776,75.65,102.84,2.0559292,96.7756,92.83085,1.33,0.013479957,USD,119151730688,0.08252,1130186763,1132499968,9344934,12369323,1711584000,1714435200,0.0083,0.0008,0.93611,1.86,0.0083,1133650048,6.442,15.278641,1706918400,1738540800,1706918400,0.352,4473999872,3.86,4.53,2.07,2:1,1541548800,2.198,17.623,0.25446486,0.26159418,0.333,1707868800,NYQ,EQUITY,551712600,-14400000,98.425,132.0,98.0,113.15,114.0,1.7,buy,20,5600000000,4.943,6760999936,12542000128,0.592,1.212,54216998912,171.761,47.31,0.12473,0.65476,3526749952,6056999936,0.368,0.13,0.36466,0.1247,0.10901,USD,2.5678
NKE,97005-6453,Footwear & Accessories,Consumer Cyclical,83700,8,10,2,7,8,1714521600,1703980800,86400,2,92.79,92.29,90.85,92.62,92.79,92.29,90.85,92.62,1.48,0.0159,1717372800,0.41759998,1.0,1.076,26.930882,25.086302,13768005,13768005,9449606,7561580,7561580,91.09,91.09,800,1800,138100178944,88.66,123.39,2.6773458,94.479,101.8261,1.42,0.015303372,USD,141585399808,0.10141,1193027388,1211459968,17044013,17919587,1711584000,1714435200,0.0113,0.01417,0.82871,1.87,0.0175,1509360000,9.415,9.725438,1685491200,1717113600,1709164800,-0.055,5231000064,3.4,3.65,2.15,2:1,1450915200,2.745,20.633,-0.20678747,0.26159418,0.37,1709251200,NYQ,EQUITY,344615400,-14400000,91.565,120.44,69.49,100.89,105.16,2.3,buy,34,10572999680,7.005,6862000128,12104999936,1.672,2.741,51581001728,85.091,33.831,0.09891,0.36381,5401124864,7063000064,-0.025,0.003,0.44294998,0.13303,0.107489996,USD,2.0476
MCD,60607,Restaurants,Consumer Cyclical,100000,7,3,4,6,5,1714521600,1703980800,86400,2,270.66,271.11,270.231,274.37,270.66,271.11,270.231,274.37,6.68,0.0247,1709164800,0.5421,2.24,0.709,23.28802,22.266449,1923572,1923572,3333232,3457740,3457740,273.74,273.78,1100,800,198020530176,245.73,302.39,7.68573,276.4908,279.73404,6.38,0.023572009,USD,245166702592,0.33363,718238545,720681984,8097925,8081310,1711584000,1714435200,0.0112,0.0017,0.72644997,2.21,0.0113,722438976,-6.706,,1703980800,1735603200,1711843200,0.07,8595800064,11.77,12.31,3.87,2:1,920851200,9.516,17.753,-0.0776937,0.26159418,1.67,1709164800,NYQ,EQUITY,-110197800,-14400000,274.1,330.75,264.05,292.84,290.45,2.1,buy,32,838000000,1.163,13809500160,50944999424,0.63,0.83,25764700160,,35.507,0.13991,,6313612288,9581899776,0.086,0.046,0.57006,0.53599,0.44205,USD,2.329
SBUX,98134,Restaurants,Consumer Cyclical,381000,3,1,2,2,1,1714521600,1703980800,86400,2,75.63,75.9,75.3201,76.03,75.63,75.9,75.3201,76.03,2.28,0.0301,1715817600,0.6061,1.95,0.966,20.847107,18.547794,7349629,7349629,10347957,23390770,23390770,75.62,75.71,600,600,86340640768,71.8,107.66,2.363548,86.2714,93.74295,2.24,0.029617878,USD,107756101632,0.11382,1108029794,1132700032,17534800,15717935,1711584000,1714435200,0.0155,0.020399999,0.76881,2.17,0.0155,1140940032,-7.46,,1696118400,1727740800,1711843200,-0.15,4157700096,3.63,4.08,2.58,2:1,1428537600,2.95,15.142,-0.28441668,0.26159418,0.57,1707350400,NMS,EQUITY,709565400,-14400000,75.675,120.0,75.0,89.83,85.0,2.6,hold,28,3126599936,2.76,7116299776,25209399296,0.563,0.859,36530098176,,32.048,0.120570004,,2832212480,6537800192,-0.139,-0.018,0.27737,0.19481,0.12039,USD,1.318
KR,45202-1100,Grocery Stores,Consumer Defensive,414000,8,6,6,7,7,1714521600,1672444800,86400,2,55.28,54.93,54.18,55.13,55.28,54.93,54.18,55.13,1.16,0.021,1715644800,0.3716,2.05,0.486,18.359797,11.943955,3226942,3226942,5081409,4044320,4044320,54.27,54.28,800,1800,39220133888,42.1,58.34,0.2613996,55.7186,48.2532,1.13,0.02044139,USD,60193439744,0.01442,740938880,721688000,14585000,15607590,1711584000,1714435200,0.0202,0.07632,0.75641996,3.37,0.023,719315968,12.338,4.4046845,1706918400,1738540800,1621641600,-0.884,2146000000,2.96,4.55,1.56,2:1,1436832000,0.401,7.383,0.12243652,0.26159418,0.29,1715644800,NYQ,EQUITY,-252322200,-14400000,54.345,70.0,48.0,58.07,58.0,2.4,buy,18,2308999936,3.087,8152999936,21152999424,0.25,0.806,150039003136,229.201,208.968,0.06225,0.20069,3414625024,6787999744,-0.882,-0.006,0.22963,0.05434,0.01993,USD,1.3503
