symbol,zip,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,firstTradeDateEpochUtc,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
AAPL,95014,Consumer Electronics,Technology,150000,6,1,2,1,1,1714521600,1703980800,86400,2,187.43,187.98,187.38,190.65,187.43,187.98,187.38,190.65,1.0,0.0053,1715299200,0.14930001,0.73,1.264,29.505444,26.240664,54305855,54305855,64500086,73287410,73287410,189.68,189.88,100,100,2909185507328,164.08,199.62,7.6231923,172.8872,180.8531,0.96,0.0051219123,USD,2911507054592,0.26306,15306787334,15334099968,94308265,108782648,1711584000,1714435200,0.0062,0.05978,0.57557,1.66,0.0062,15467299840,4.837,39.22266,1696032000,1727654400,1711756800,-0.022,100389003264,6.43,7.23,2.59,4:1,1598832000,7.629,22.46,0.08535528,0.26159418,0.25,1715299200,NMS,EQUITY,345479400,-14400000,189.72,250.0,164.0,202.26,200.0,2.1,buy,39,67150000128,4.379,129629003776,104590000128,0.875,1.037,381623009280,140.968,24.537,0.22073999,1.4725,84726874112,110563000320,0.007,-0.043,0.45586,0.33968,0.30743,USD,2.2226
MSFT,98052-6399,Software - Infrastructure,Technology,221000,3,5,2,2,1,1714521600,1703980800,86400,2,415.81,417.9,417.27,423.81,415.81,417.9,417.27,423.81,3.0,0.0072000003,1715731200,0.24780001,0.94,0.893,36.63258,31.880844,13971978,13971978,19965795,16610060,16610060,422.68,423.27,100,100,3141934514176,309.45,430.82,13.280418,413.7474,373.0985,2.93,0.0070464876,USD,3122217353216,0.36426997,7420785720,7432309760,49773013,55771473,1711584000,1714435200,0.0067000003,0.00054000004,0.73971003,2.48,0.0067000003,7432309760,34.058,12.412355,1688083200,1719705600,1711843200,0.199,86181003264,11.54,13.26,2.18,2:1,1045526400,13.197,24.941,0.32662416,0.26159418,0.75,1707868800,NMS,EQUITY,511108200,-14400000,422.74,550.0,298.1,472.39,475.0,1.7,buy,48,80013000704,10.766,125182001152,106228998144,1.132,1.242,236583993344,41.963,31.834,0.15295,0.38487998,61497999360,110122999808,0.2,0.17,0.69894,0.52911997,0.44588003,USD,2.0616
GOOGL,94043,Internet Content & Information,Communication Services,180895,10,8,10,10,10,1714521600,1703980800,86400,2,170.34,170.79,170.51,172.59,170.34,170.79,170.51,172.59,0.8,0.0047,1717977600,,,1.019,26.43175,20.109102,18604040,18604040,30956808,26348860,26348860,172.17,172.4,200,400,2124718276608,115.35,174.71,6.678438,154.4222,140.774,,,USD,2025347743744,0.25902,11025560440,5873999872,54378434,56577141,1711584000,1714435200,0.0044,0.00253,0.8095,1.81,0.0093,12416400384,23.653,7.2859683,1703980800,1735603200,1711843200,0.572,82405998592,6.52,8.57,1.14,20:1,1658102400,6.366,18.459,0.40963256,0.26159418,,,NMS,EQUITY,1092922200,-14400000,172.335,225.0,114.76,190.83,196.0,1.9,buy,45,108089999360,8.747,109723000832,28376000512,1.982,2.149,318145986560,9.69,25.374,0.15608,0.29764,55064125440,107084996608,0.609,0.154,0.57466,0.34487998,0.32516,USD,1.5388
AMZN,98109-5210,Internet Retail,Consumer Cyclical,1525000,5,10,10,2,10,1714521600,1703980800,86400,2,187.07,185.77,182.73,186.7193,187.07,185.77,182.73,186.7193,,,,,,1.155,52.10084,32.291664,68365688,68365688,40168467,42409220,42409220,185.91,186.12,100,100,1935627517952,113.78,191.7,3.276615,180.6494,154.12254,,,USD,2022253789184,0.06379,9260129273,10406599680,64485447,70546891,1711584000,1714435200,0.0062,0.091639996,0.63657004,1.55,0.0069,10406599680,20.827,8.930715,1703980800,1735603200,1711843200,2.288,37683998720,3.57,5.76,1.35,20:1,1654473600,3.423,20.932,0.6196537,0.26159418,,,NMS,EQUITY,863703000,-14400000,186.0,500.0,180.0,226.66,220.0,1.7,buy,52,85074001920,8.175,96609001472,160560005120,0.829,1.072,590739996672,74.107,57.133,0.059510004,0.20305,57269751808,99146997760,2.167,0.125,0.47594002,0.16354,0.106809996,USD,2.0562
META,94025,Internet Content & Information,Communication Services,69329,9,10,10,10,10,1714521600,1703980800,86400,2,471.85,474.98,471.2,482.4999,471.85,474.98,471.2,482.4999,2.0,0.0042,1708473600,0.028800001,,1.208,27.73963,20.846752,9414389,9414389,16424822,13756580,13756580,481.42,482.0,100,100,1211551973376,238.14,531.49,8.48949,488.1026,382.0793,0.5,0.0010596588,USD,1176376705024,0.32062998,2186467107,2191450112,28273581,26846472,1711584000,1714435200,0.0111,0.00182,0.80294,1.42,0.0128999995,2599089920,58.939,8.170482,1703980800,1735603200,1711843200,1.167,45758001152,17.36,23.1,0.78,,,8.243,17.187,0.9458535,0.26159418,0.5,1708473600,NMS,EQUITY,1337347800,-14400000,481.56,593.0,260.0,512.99,520.0,1.8,buy,52,58119999488,22.913,68446998528,37632999424,2.546,2.681,142711996416,25.168,55.671,0.17312999,0.33361,35132125184,76360998912,1.141,0.273,0.81496,0.47962,0.38579,USD,1.0907
NVDA,95051,Semiconductors,Technology,29600,7,10,1,6,7,1714521600,1703980800,86400,2,913.56,924.72,915.99,948.61,913.56,924.72,915.99,948.61,0.16,0.0002,1709596800,0.0134000005,0.13,1.749,79.0284,29.469471,38163762,38163762,51403463,37741580,37741580,944.88,948.2,100,200,2364925018112,294.3,974.0,38.8189,879.5908,604.5762,0.16,0.00017513901,USD,2268971925504,0.48849,2397750000,2500000000,26745995,28356794,1711584000,1714435200,0.0107,0.04004,0.67260003,0.58,0.0111,2586160128,17.442,54.23518,1706400000,1738022400,1706400000,7.688,29760000000,11.97,32.1,0.97,4:1,1626739200,37.244,65.805,2.0272384,0.26159418,0.04,1709596800,NMS,EQUITY,917015400,-14400000,945.97,2762.12,478.4,1032.95,1000.0,1.7,buy,47,25984000000,10.394,34480001024,11056000000,3.385,4.171,60921999360,25.725,24.675,0.38551,0.91458,19866875904,28089999360,7.613,2.653,0.72718,0.56597,0.61592996,USD,1.2259
TSLA,78725,Auto Manufacturers,Consumer Cyclical,140473,9,9,8,9,9,1714521600,1703980800,86400,2,177.55,179.993,173.11,180.0,177.55,179.993,173.11,180.0,,,,,,2.408,44.55499,52.472893,73153235,73153235,99399967,78870250,78870250,174.04,174.48,1100,1100,555590549504,138.8,299.29,5.864062,171.0006,216.4412,,,USD,550091751424,0.14368,2772049308,3189199872,107440586,107481521,1711584000,1714435200,0.0337,0.12987,0.45576,0.95,0.0387,3189199872,20.188,8.629384,1703980800,1735603200,1711843200,-0.551,13651999744,3.91,3.32,4.59,3:1,1661385600,5.806,44.851,0.021224022,0.26159418,,,NMS,EQUITY,1277818200,-14400000,174.21,320.0,22.86,179.72,177.5,2.7,hold,40,26862999552,8.423,12264999936,9911000064,1.05,1.716,94745001984,15.206,29.803,0.04717,0.23736,-633124992,10984999936,-0.534,-0.087,0.17778999,0.12945,0.054970004,USD,3.1425
CRM,94105,Software - Application,Technology,72682,4,6,9,2,6,1714521600,1703980800,86400,2,276.8,279.74,279.73,287.74,276.8,279.74,279.73,287.74,1.6,0.0058,1710288000,,,1.296,68.30166,26.117165,4525937,4525937,5616444,3587510,3587510,287.33,287.43,1800,1400,279648993280,193.68,318.71,8.02275,290.1638,251.37265,,,USD,267863998464,0.11866,942636300,970000000,8297992,9645300,1711584000,1714435200,0.0086,0.02777,0.8329,1.58,0.0089,972523008,61.427,4.681166,1706659200,1738281600,1706659200,,4136000000,4.21,11.01,1.75,4:1,1366243200,7.685,29.049,0.32199824,0.26159418,0.4,1710288000,NYQ,EQUITY,1087997400,-14400000,287.55,390.0,231.0,337.31,345.0,2.1,buy,42,14193999872,14.633,9221000192,13562000384,0.962,1.092,34857000960,22.737,35.787,0.03774,0.0701,11553250304,10234000384,,0.108,0.75497,0.26454002,0.19328,USD,1.4832
ADBE,95110-2704,Software - Infrastructure,Technology,29945,1,8,6,1,2,1714521600,1703980800,86400,2,475.95,481.38,476.63,489.58,475.95,481.38,476.63,489.58,,,1111622400,,0.12,1.281,46.3276,23.811977,2198698,2198698,3834416,2641440,2641440,484.71,485.48,800,400,220571631616,345.12,638.25,11.063987,498.9262,550.1659,,,USD,210491604992,0.24082,446705280,448000000,6866382,5690991,1711584000,1714435200,0.0153,0.00209,0.85273004,2.33,0.0154,454740000,34.128,14.21267,1701388800,1733011200,1709251200,-0.503,4800999936,10.47,20.37,1.98,2:1,1116892800,10.558,27.736,0.3345765,0.26159418,0.0065,1111622400,NMS,EQUITY,524323800,-14400000,485.05,732.52,445.0,621.87,645.0,2.0,buy,32,6819999744,15.223,7589000192,4086000128,0.931,1.049,19936000000,26.429,43.762,0.15724,0.32367,6730375168,6783000064,-0.498,0.113,0.88082004,0.38067,0.368,USD,1.7657
IBM,10504,Information Technology Services,Technology,282200,2,6,5,4,3,1714521600,1703980800,86400,2,167.36,167.94,167.34,168.35,167.36,167.94,167.34,168.35,6.68,0.0399,1715212800,0.7528,4.84,0.745,19.057823,16.146975,3075204,3075204,4464063,3369730,3369730,168.25,168.25,800,2200,154592362496,123.47,199.18,2.4906535,183.0238,163.50815,6.64,0.039674953,USD,197565349888,0.13179,916572554,918603008,20459339,23288842,1711584000,1714435200,0.0223,0.00114,0.61555,4.58,0.0223,919699968,25.322,6.638101,1703980800,1735603200,1711843200,0.731,8154999808,8.82,10.41,5.27,1046:1000,1635984000,3.183,13.739,0.33131814,0.26159418,1.66,1707350400,NYQ,EQUITY,-252322200,-14400000,168.09,215.0,130.0,181.57,190.0,2.5,buy,16,19114999808,20.809,14380000256,62870999040,0.965,1.132,62068998144,269.451,67.937,0.045819998,0.36240003,11027375104,14325000192,0.701,0.015,0.55635,0.23167999,0.102139995,USD,3.3059
