stock,0_Absolute energy,0_Average power,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_Entropy,0_Histogram_0,0_Histogram_1,0_Histogram_2,0_Histogram_3,0_Histogram_4,0_Histogram_5,0_Histogram_6,0_Histogram_7,0_Histogram_8,0_Histogram_9,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Peak to peak distance,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance
AAPL,97727745.26716204,2791423.743706428,700.0,2801.0,146.6999969482422,184.22500610351562,0.00028555111364934324,0.0005711022272986865,0.0008566533409480297,0.001142204454597373,0.0014277555682467161,0.0017133066818960593,0.0019988577955454027,0.002284408909194746,0.002569960022844089,0.0028555111364934323,0.9813883949123524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.09750747680664,-1.0920211872685504,198.7899932861328,166.0027223758055,16.19335079941404,169.46554565429688,16.051956176757812,124.56999969482422,74.2199935913086,167.05168809526424,-0.21517460206887004,18.691245525611777,349.3626592987023
ADBE,731328971.2505226,20889145.137118615,700.0,2801.0,344.8599853515625,549.8400268554688,0.00028555111364934324,0.0005711022272986865,0.0008566533409480297,0.001142204454597373,0.0014277555682467161,0.0017133066818960593,0.0019988577955454027,0.002284408909194746,0.002569960022844089,0.0028555111364934323,0.9925658176958231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.93500518798828,-1.2666324159101372,637.22998046875,445.82353494536324,90.09543820933145,429.77000427246094,85.93000793457031,275.20001220703125,362.02996826171875,456.981183622056,0.1868777484660378,100.36522243006159,10073.177873435738
AMD,45195287.52326031,1290925.0934950104,700.0,2801.0,77.16999816894531,138.77000427246094,0.00028555111364934324,0.0005711022272986865,0.0008566533409480297,0.001142204454597373,0.0014277555682467161,0.0017133066818960593,0.0019988577955454027,0.002284408909194746,0.002569960022844089,0.0028555111364934323,0.9899153738638288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5555534362793,0.029303740639499587,226.45010375976562,107.91791842911054,27.790656783739195,101.1099967956543,19.75,55.96500015258789,170.48510360717773,113.60266142995616,0.878823943255196,35.48644200109519,1259.287565897093
AMZN,60195766.37545327,1719387.7856456235,700.0,2801.0,101.66259765625,149.3000030517578,0.00028555111364934324,0.0005711022272986865,0.0008566533409480297,0.001142204454597373,0.0014277555682467161,0.0017133066818960593,0.0019988577955454027,0.002284408909194746,0.002569960022844089,0.0028555111364934323,0.9868155427501643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.78129768371582,-0.5965288973965599,190.9073944091797,128.1930628961185,22.222979634855715,126.56499862670898,19.599998474121094,81.83000183105469,109.077392578125,131.1067051126157,0.4859045720204644,27.486483056189122,755.5067507981718
AVGO,2455117867.078153,70126188.7197416,700.0,2801.0,528.739990234375,1080.5799560546875,0.00028555111364934324,0.0005711022272986865,0.0008566533409480297,0.001142204454597373,0.0014277555682467161,0.0017133066818960593,0.0019988577955454027,0.002284408909194746,0.002569960022844089,0.0028555111364934323,0.9961131395244479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.11253356933594,-0.7989589297664419,1434.760009765625,787.907258378513,242.8892096189573,646.4100036621094,178.01324462890625,420.8599853515625,1013.9000244140625,837.2942380576657,0.6835274987515817,283.3086537312652,80263.79327902195
CRM,156492537.0679595,4469938.219593245,700.0,2801.0,160.6300048828125,259.55999755859375,0.00028555111364934324,0.0005711022272986865,0.0008566533409480297,0.001142204454597373,0.0014277555682467161,0.0017133066818960593,0.0019988577955454027,0.002284408909194746,0.002569960022844089,0.0028555111364934323,0.985481166781272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.87749481201172,-0.6621287965140983,318.32000732421875,205.70905257986996,39.14719780391036,200.40005493164062,33.285057067871094,126.87999725341797,191.44001007080078,211.39209596758096,0.558814803236894,48.6867941464547,2370.4039242592557
CSCO,8323130.354001072,237735.79988577758,700.0,2801.0,45.36000061035156,51.5099983215332,0.00028555111364934324,0.0005711022272986865,0.0008566533409480297,0.001142204454597373,0.0014277555682467161,0.0017133066818960593,0.0019988577955454027,0.002284408909194746,0.002569960022844089,0.0028555111364934323,0.9216152725943266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.263200759887695,-0.11833601973243946,58.11000061035156,48.616833313746426,2.812474254935065,48.73500061035156,2.091951370239258,38.959999084472656,19.150001525878906,48.75119630976925,-0.08530976906647535,3.616996015625964,13.0826601770541
GOOGL,51967840.67853886,1484371.3418605786,700.0,2801.0,99.44999694824219,138.0500030517578,0.00028555111364934324,0.0005711022272986865,0.0008566533409480297,0.001142204454597373,0.0014277555682467161,0.0017133066818960593,0.0019988577955454027,0.002284408909194746,0.002569960022844089,0.0028555111364934323,0.9805034062251304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.06600379943848,-0.7080688124318324,172.36000061035156,120.1036149291295,17.254368996976257,119.38525009155273,16.55075454711914,83.41000366210938,88.94999694824219,121.8173829127371,0.296809396900207,20.361641895087736,414.5964606637921
IBM,75576142.70216073,2158701.591035725,700.0,2801.0,129.5500030517578,161.55999755859375,0.00028555111364934324,0.0005711022272986865,0.0008566533409480297,0.001142204454597373,0.0014277555682467161,0.0017133066818960593,0.0019988577955454027,0.002284408909194746,0.002569960022844089,0.0028555111364934323,0.9634185062732564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.696243286132812,0.247358848253584,198.59970092773438,145.58475332516116,15.249926280179464,140.3470001220703,9.17449951171875,117.0999984741211,81.49970245361328,146.90422633104768,1.106805682032701,19.645134592963753,385.9313131756611
INTC,4400233.132401305,125685.03662957171,700.0,2801.0,28.939899444580078,42.01350021362305,0.00028555111364934324,0.0005711022272986865,0.0008566533409480297,0.001142204454597373,0.0014277555682467161,0.0017133066818960593,0.0019988577955454027,0.002284408909194746,0.002569960022844089,0.0028555111364934323,0.9517510661058811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.37874984741211,-0.7721889975703777,50.790000915527344,34.88548288122032,5.25044094318004,34.18499946594238,4.649999618530273,24.819900512695312,25.97010040283203,35.44702344730698,0.4702067631153795,6.284469382375462,39.49455541801462
