latitude,longitude,name,ISOA3
42.546245,1.601554,Andorra,AND
23.424076,53.847818,United Arab Emirates,ARE
33.93911,67.709953,Afghanistan,AFG
17.060816,-61.796428,Antigua and Barbuda,ATG
18.220554,-63.068615,Anguilla,AIA
41.153332,20.168331,Albania,ALB
40.069099,45.038189,Armenia,ARM
-11.202692,17.873887,Angola,AGO
-75.250973,-0.071389,Antarctica,ATA
-38.416097,-63.616672,Argentina,ARG
-14.270972,-170.132217,American Samoa,ASM
47.516231,14.550072,Austria,AUT
-25.274398,133.775136,Australia,AUS
12.52111,-69.968338,Aruba,ABW
40.143105,47.576927,Azerbaijan,AZE
43.915886,17.679076,Bosnia and Herzegovina,BIH
13.193887,-59.543198,Barbados,BRB
23.684994,90.356331,Bangladesh,BGD
50.503887,4.469936,Belgium,BEL
12.238333,-1.561593,Burkina Faso,BFA
42.733883,25.48583,Bulgaria,BGR
25.930414,50.637772,Bahrain,BHR
-3.373056,29.918886,Burundi,BDI
9.30769,2.315834,Benin,BEN
32.321384,-64.75737,Bermuda,BMU
4.535277,114.727669,Brunei,BRN
-16.290154,-63.588653,Bolivia,BOL
-14.235004,-51.92528,Brazil,BRA
25.03428,-77.39628,Bahamas,BHS
27.514162,90.433601,Bhutan,BTN
-54.423199,3.413194,Bouvet Island,BVT
-22.328474,24.684866,Botswana,BWA
53.709807,27.953389,Belarus,BLR
17.189877,-88.49765,Belize,BLZ
56.130366,-106.346771,Canada,CAN
-12.164165,96.870956,Cocos [Keeling] Islands,CCK
-4.038333,21.758664,Congo [DRC],COD
6.611111,20.939444,Central African Republic,CAF
-0.228021,15.827659,Congo [Republic],COG
46.818188,8.227512,Switzerland,CHE
7.539989,-5.54708,Côte d'Ivoire,CIV
-21.236736,-159.777671,Cook Islands,COK
-35.675147,-71.542969,Chile,CHL
7.369722,12.354722,Cameroon,CMR
35.86166,104.195397,China,CHN
4.570868,-74.297333,Colombia,COL
9.748917,-83.753428,Costa Rica,CRI
21.521757,-77.781167,Cuba,CUB
16.002082,-24.013197,Cape Verde,CPV
-10.447525,105.690449,Christmas Island,CXR
35.126413,33.429859,Cyprus,CYP
49.817492,15.472962,Czech Republic,CZE
51.165691,10.451526,Germany,DEU
11.825138,42.590275,Djibouti,DJI
56.26392,9.501785,Denmark,DNK
15.414999,-61.370976,Dominica,DMA
18.735693,-70.162651,Dominican Republic,DOM
28.033886,1.659626,Algeria,DZA
-1.831239,-78.183406,Ecuador,ECU
58.595272,25.013607,Estonia,EST
26.820553,30.802498,Egypt,EGY
24.215527,-12.885834,Western Sahara,ESH
15.179384,39.782334,Eritrea,ERI
40.463667,-3.74922,Spain,ESP
9.145,40.489673,Ethiopia,ETH
61.92411,25.748151,Finland,FIN
-16.578193,179.414413,Fiji,FJI
-51.796253,-59.523613,Falkland Islands [Islas Malvinas],FLK
7.425554,150.550812,Micronesia,FSM
61.892635,-6.911806,Faroe Islands,FRO
46.227638,2.213749,France,FRA
-0.803689,11.609444,Gabon,GAB
55.378051,-3.435973,United Kingdom,GBR
12.262776,-61.604171,Grenada,GRD
42.315407,43.356892,Georgia,GEO
3.933889,-53.125782,French Guiana,GUF
49.465691,-2.585278,Guernsey,GGY
7.946527,-1.023194,Ghana,GHA
36.137741,-5.345374,Gibraltar,GIB
71.706936,-42.604303,Greenland,GRL
13.443182,-15.310139,Gambia,GMB
9.945587,-9.696645,Guinea,GIN
16.995971,-62.067641,Guadeloupe,GLP
1.650801,10.267895,Equatorial Guinea,GNQ
39.074208,21.824312,Greece,GRC
-54.429579,-36.587909,South Georgia and the South Sandwich Islands,SGS
15.783471,-90.230759,Guatemala,GTM
13.444304,144.793731,Guam,GUM
11.803749,-15.180413,Guinea-Bissau,GNB
4.860416,-58.93018,Guyana,GUY
31.354676,34.308825,Gaza Strip,PSE
22.396428,114.109497,Hong Kong,HKG
-53.08181,73.504158,Heard Island and McDonald Islands,HMD
15.199999,-86.241905,Honduras,HND
45.1,15.2,Croatia,HRV
18.971187,-72.285215,Haiti,HTI
47.162494,19.503304,Hungary,HUN
-0.789275,113.921327,Indonesia,IDN
53.41291,-8.24389,Ireland,IRL
31.046051,34.851612,Israel,ISR
54.236107,-4.548056,Isle of Man,IMN
20.593684,78.96288,India,IND
-6.343194,71.876519,British Indian Ocean Territory,IOT
33.223191,43.679291,Iraq,IRQ
32.427908,53.688046,Iran,IRN
64.963051,-19.020835,Iceland,ISL
41.87194,12.56738,Italy,ITA
49.214439,-2.13125,Jersey,JEY
18.109581,-77.297508,Jamaica,JAM
30.585164,36.238414,Jordan,JOR
36.204824,138.252924,Japan,JPN
-0.023559,37.906193,Kenya,KEN
41.20438,74.766098,Kyrgyzstan,KGZ
12.565679,104.990963,Cambodia,KHM
-3.370417,-168.734039,Kiribati,KIR
-11.875001,43.872219,Comoros,COM
17.357822,-62.782998,Saint Kitts and Nevis,KNA
40.339852,127.510093,North Korea,PRK
35.907757,127.766922,South Korea,KOR
29.31166,47.481766,Kuwait,KWT
19.513469,-80.566956,Cayman Islands,CYM
48.019573,66.923684,Kazakhstan,KAZ
19.85627,102.495496,Laos,LAO
33.854721,35.862285,Lebanon,LBN
13.909444,-60.978893,Saint Lucia,LCA
47.166,9.555373,Liechtenstein,LIE
7.873054,80.771797,Sri Lanka,LKA
6.428055,-9.429499,Liberia,LBR
-29.609988,28.233608,Lesotho,LSO
55.169438,23.881275,Lithuania,LTU
49.815273,6.129583,Luxembourg,LUX
56.879635,24.603189,Latvia,LVA
26.3351,17.228331,Libya,LBY
31.791702,-7.09262,Morocco,MAR
43.750298,7.412841,Monaco,MCO
47.411631,28.369885,Moldova,MDA
42.708678,19.37439,Montenegro,MNE
-18.766947,46.869107,Madagascar,MDG
7.131474,171.184478,Marshall Islands,MHL
41.608635,21.745275,Macedonia [FYROM],MKD
17.570692,-3.996166,Mali,MLI
21.913965,95.956223,Myanmar [Burma],MMR
46.862496,103.846656,Mongolia,MNG
22.198745,113.543873,Macau,MAC
17.33083,145.38469,Northern Mariana Islands,MNP
14.641528,-61.024174,Martinique,MTQ
21.00789,-10.940835,Mauritania,MRT
16.742498,-62.187366,Montserrat,MSR
35.937496,14.375416,Malta,MLT
-20.348404,57.552152,Mauritius,MUS
3.202778,73.22068,Maldives,MDV
-13.254308,34.301525,Malawi,MWI
23.634501,-102.552784,Mexico,MEX
4.210484,101.975766,Malaysia,MYS
-18.665695,35.529562,Mozambique,MOZ
-22.95764,18.49041,Namibia,NAM
-20.904305,165.618042,New Caledonia,NCL
17.607789,8.081666,Niger,NER
-29.040835,167.954712,Norfolk Island,NFK
9.081999,8.675277,Nigeria,NGA
12.865416,-85.207229,Nicaragua,NIC
52.132633,5.291266,Netherlands,NLD
60.472024,8.468946,Norway,NOR
28.394857,84.124008,Nepal,NPL
-0.522778,166.931503,Nauru,NRU
-19.054445,-169.867233,Niue,NIU
-40.900557,174.885971,New Zealand,NZL
21.512583,55.923255,Oman,OMN
8.537981,-80.782127,Panama,PAN
-9.189967,-75.015152,Peru,PER
-17.679742,-149.406843,French Polynesia,PYF
-6.314993,143.95555,Papua New Guinea,PNG
12.879721,121.774017,Philippines,PHL
30.375321,69.345116,Pakistan,PAK
51.919438,19.145136,Poland,POL
46.941936,-56.27111,Saint Pierre and Miquelon,SPM
-24.703615,-127.439308,Pitcairn Islands,PCN
18.220833,-66.590149,Puerto Rico,PRI
31.952162,35.233154,Palestinian Territories,PSE
39.399872,-8.224454,Portugal,PRT
7.51498,134.58252,Palau,PLW
-23.442503,-58.443832,Paraguay,PRY
25.354826,51.183884,Qatar,QAT
-21.115141,55.536384,Réunion,REU
45.943161,24.96676,Romania,ROU
44.016521,21.005859,Serbia,SRB
61.52401,105.318756,Russia,RUS
-1.940278,29.873888,Rwanda,RWA
23.885942,45.079162,Saudi Arabia,SAU
-9.64571,160.156194,Solomon Islands,SLB
-4.679574,55.491977,Seychelles,SYC
12.862807,30.217636,Sudan,SDN
60.128161,18.643501,Sweden,SWE
1.352083,103.819836,Singapore,SGP
-24.143474,-10.030696,Saint Helena,SHN
46.151241,14.995463,Slovenia,SVN
77.553604,23.670272,Svalbard and Jan Mayen,SJM
48.669026,19.699024,Slovakia,SVK
8.460555,-11.779889,Sierra Leone,SLE
43.94236,12.457777,San Marino,SMR
14.497401,-14.452362,Senegal,SEN
5.152149,46.199616,Somalia,SOM
3.919305,-56.027783,Suriname,SUR
0.18636,6.613081,São Tomé and Príncipe,STP
13.794185,-88.89653,El Salvador,SLV
34.802075,38.996815,Syria,SYR
-26.522503,31.465866,Swaziland,SWZ
21.694025,-71.797928,Turks and Caicos Islands,TCA
15.454166,18.732207,Chad,TCD
-49.280366,69.348557,French Southern Territories,ATF
8.619543,0.824782,Togo,TGO
15.870032,100.992541,Thailand,THA
38.861034,71.276093,Tajikistan,TJK
-8.967363,-171.855881,Tokelau,TKL
-8.874217,125.727539,Timor-Leste,TLS
38.969719,59.556278,Turkmenistan,TKM
33.886917,9.537499,Tunisia,TUN
-21.178986,-175.198242,Tonga,TON
38.963745,35.243322,Turkey,TUR
10.691803,-61.222503,Trinidad and Tobago,TTO
-7.109535,177.64933,Tuvalu,TUV
23.69781,120.960515,Taiwan,TWN
-6.369028,34.888822,Tanzania,TZA
48.379433,31.16558,Ukraine,UKR
1.373333,32.290275,Uganda,UGA
37.09024,-95.712891,United States,USA
-32.522779,-55.765835,Uruguay,URY
41.377491,64.585262,Uzbekistan,UZB
41.902916,12.453389,Vatican City,VAT
12.984305,-61.287228,Saint Vincent and the Grenadines,VCT
6.42375,-66.58973,Venezuela,VEN
18.420695,-64.639968,British Virgin Islands,VGB
18.335765,-64.896335,U.S. Virgin Islands,VIR
14.058324,108.277199,Vietnam,VNM
-15.376706,166.959158,Vanuatu,VUT
-13.768752,-177.156097,Wallis and Futuna,WLF
-13.759029,-172.104629,Samoa,WSM
42.602636,20.902977,Kosovo,XKX
15.552727,48.516388,Yemen,YEM
-12.8275,45.166244,Mayotte,MYT
-30.559482,22.937506,South Africa,ZAF
-13.133897,27.849332,Zambia,ZMB
-19.015438,29.154857,Zimbabwe,ZWE
